Search LSTM,Search GRU,Align LSTM,Align GRU,Insert LSTM,Insert GRU
-86.26533508,95.28657532,99.47624969,112.8023911,-45.26808929,130.5493469
-100.2598419,112.8643951,-81.7958374,94.95606232,116.1312943,-71.46017456
-97.4082489,107.0396271,76.6830368,82.8687973,-29.78356743,139.1160126
104.2316055,95.4364624,-97.12679291,99.73545837,113.4474182,138.5892029
104.4680481,43.32904434,85.95566559,105.4634705,-50.83602905,125.2189026
79.72141266,5.761715412,-96.86154938,38.92060089,-31.93460274,-65.03492737
104.6859283,113.7420502,103.2409897,82.22090149,-39.93467712,143.9119263
111.4451752,90.72781372,-101.7365952,75.32983398,-49.59985733,142.0415497
114.725769,107.2937622,76.84423065,109.9652939,-55.0087204,147.2212372
-96.45622253,72.8088913,96.95869446,107.94487,-30.56698227,137.2611694
127.4209137,95.46297455,105.8409348,96.12810516,-22.59342575,132.8205261
120.1912079,114.746933,107.491745,113.7298965,-16.46592808,126.1970825
108.6482315,94.3551178,105.3054428,112.8003769,-29.57185364,136.9892883
79.24653625,99.96817017,97.89403534,112.4205933,-76.08217621,140.2861938
103.4066544,100.6499252,109.4250259,119.1074982,-9.451618195,140.3583221
110.9007492,107.3693466,101.6236954,123.4107819,-14.81516552,136.7596436
108.075737,121.9577408,104.3683319,54.03006363,-12.11819458,143.4223175
91.60736847,-45.50082397,98.47094727,121.7120667,-13.0916872,134.9989624
110.018364,106.6281357,101.2506561,121.807579,-15.13842583,129.0075836
104.0420761,82.99234009,105.1383209,112.6358948,-13.07423782,132.3912354
110.1206436,98.80206299,117.0320511,104.5217667,-23.21249199,139.7784729
111.9014969,101.5811539,99.67219543,115.9974899,-16.0775547,136.2860718
104.0380707,97.05774689,114.1930313,127.0799484,-19.47585964,134.4452972
-66.21408081,89.59355927,112.6521149,122.4358521,-11.76806641,128.5427246
111.7055817,124.6594086,120.6659622,116.6415787,-21.75027466,83.31097412
100.1741562,99.77649689,101.4205246,123.8114471,-19.56155777,142.8625793
70.13780975,101.1489487,106.9840012,114.4292221,-113.0989151,134.6402588
114.845871,101.343399,105.1234436,116.3690338,-35.5635128,144.8548279
89.74262238,75.8632431,123.690506,123.1523895,-58.62650299,127.489296
92.84669495,96.02626038,117.4187622,116.0549011,-93.81411743,143.4887695
-129.5592194,116.4195251,113.8359451,118.3455276,-28.50139427,122.9799728
104.0905914,76.58331299,117.7670364,121.3179016,115.104599,145.610199
92.30101776,72.52454376,121.8308945,118.3568802,-46.94169617,133.8039551
105.7465668,101.3442078,117.8651581,118.3680878,-42.25829315,134.1880951
96.9088058,63.44293976,106.1987381,110.3485794,-50.63588715,130.7127838
96.6190186,-72.5280838,117.0275269,114.4093094,-14.77303791,129.5028229
65.36716461,111.6304398,114.6561127,112.5127335,-18.36896896,134.7133026
98.4963455,106.333519,114.1766739,119.2618256,-14.2391119,120.0708618
94.26592255,108.2434311,117.1312866,119.0943222,-84.19629669,134.414032
113.1548462,111.3386612,-112.6444321,117.1631927,131.9030914,141.9130096
103.2486725,127.7421951,108.4802399,123.7268906,-52.30757141,140.7475433
111.7308121,102.5944901,108.8156967,118.3263931,-32.99099541,142.5845642
116.6296082,85.490242,112.1401596,121.597084,134.651886,141.693924
79.32925415,114.6153259,113.5072174,118.9871902,-52.0888176,134.8829803
114.0398407,88.60103607,108.4673767,121.7067108,128.2121277,134.8686371
90.81400299,106.761322,-108.9959259,111.9093018,-59.4706955,139.1562347
110.2833939,112.4017258,118.8945313,125.4071732,128.2927551,143.7750549
118.7815094,118.6974792,109.4698563,122.971138,135.7146149,138.7674408
115.2125702,83.92193604,114.3638229,121.7669067,127.2747803,137.3314362
112.7023239,92.55902863,118.0946045,108.616127,96.7729797,138.1350098
86.29406738,87.64352417,115.9274368,121.0365295,130.029007,137.3223877
78.09069824,119.5529251,119.1433334,107.6462631,130.0718231,130.3133163
108.7502136,115.8593903,120.539505,125.2222061,126.4767303,137.9979248
114.2638702,108.081665,122.0634995,126.4104309,130.4184418,134.665451
110.5923615,64.25029755,115.2896271,114.8854218,137.971283,134.0131836
116.7620544,99.54605865,112.3716202,109.0090561,127.0239868,139.8355713
112.5150833,95.23696136,120.6262283,114.2178116,132.9873657,142.8119202
112.027298,113.4130249,113.6434631,111.215538,142.6393433,140.2918396
79.31821442,87.92266083,117.9542084,123.1876678,141.0227509,134.986557
111.8446808,120.0005569,-115.3976517,125.3991547,134.3673096,135.0814056
111.3889313,112.1921158,119.9020233,117.2397842,134.2467346,133.9371338
87.89731598,113.6398621,116.1245804,124.2158127,134.1302338,143.1076202
83.14646149,109.2997742,117.9064026,112.9925995,138.7741394,136.5720825
64.46669769,89.62619019,116.0343628,120.9888687,133.2275238,137.7184906
118.2267609,108.3519821,118.7518005,116.4082718,135.4490662,132.1511688
89.65875244,128.5679016,122.0585556,122.8494568,132.3054657,140.0062256
117.252655,113.7546921,119.2482986,123.7557831,132.2830353,129.9450684
107.7463531,123.4041061,118.1505203,114.4057541,141.3367462,140.737793
119.9977875,107.7604523,115.4951019,123.5924225,140.0190735,140.9147949
65.33087158,115.1204758,119.9187622,122.9980164,141.6561737,140.1966705
87.77905273,112.7006073,120.3289108,113.7572632,137.0669098,144.039856
99.0942993,103.2211304,121.0303192,127.6618652,141.9206848,131.9794922
106.024292,89.47047424,114.6429443,124.1361694,133.3806915,140.3234406
86.0477829,103.4152832,116.6361694,120.9691315,139.0205994,140.0067444
119.3295135,107.9052277,116.4029999,118.2229309,129.7001495,137.8328552
102.9736252,99.46263885,123.9393311,111.4977417,131.3350067,146.480423
101.7221375,112.1057281,117.6590576,118.4225082,137.6746674,144.9863434
115.099762,106.5085297,124.6811829,115.5637817,136.49823,141.680481
97.2112122,120.8762436,123.9846802,125.5310669,140.9687805,134.2203369
114.5122223,112.8936157,118.9380951,123.4767609,133.3720551,141.6625366
124.7463226,118.9235458,124.5184937,123.2078094,143.7059631,132.6031342
108.2968063,89.95690155,123.1771927,105.4191132,136.901123,144.7606201
95.53168488,115.0647659,-36.17313385,122.3199768,142.7880249,139.700882
118.08284,111.911377,121.231369,124.3572693,138.6813965,142.3438568
101.2569046,117.4866257,126.4778519,127.7990112,131.2526093,145.1222076
94.3637085,119.0719223,121.1810684,115.9265442,141.7673798,134.1186371
105.8643646,87.24932098,119.4372711,120.3846512,-111.1791687,112.0047302
99.3217468,96.24131775,114.0511017,126.0441742,138.6646271,142.604187
114.988327,119.2317963,113.9365005,125.9714813,130.3881378,139.6912689
117.760025,106.1710892,118.3696976,121.0241089,141.4022369,134.5097198
104.807518,106.4865341,119.0214767,120.4452972,132.3658142,135.98909
106.7196579,94.10400391,112.460434,121.3143845,134.3358307,145.1173706
115.2773132,95.85962677,122.619957,125.4218063,136.2271576,143.8530579
122.2164459,123.7842636,119.5673828,107.3411484,132.1208954,142.3575134
86.39201355,110.3815536,117.7980957,120.7190094,137.2387543,137.5389557
128.4347992,103.7103119,118.9833984,117.4566727,136.0826569,143.6075897
87.36645508,101.6734467,118.2424164,121.8362274,139.6677704,135.978241
37.79396439,85.17443085,118.3501663,114.3926544,129.7134094,144.0970612
-56.67043304,110.1421204,110.0324707,115.3577118,130.0576477,136.3526764
117.1976624,104.7325821,118.598259,122.14711,131.3606567,142.0115356
107.378067,115.9512787,116.9023361,120.9055176,134.6430817,132.5119019
112.6458359,118.3639984,130.1357269,108.7685547,140.1170654,140.1516418
117.7965546,95.00720978,121.0887909,118.8850403,128.5173645,136.1522369
121.7354736,61.30910492,120.1751556,117.6167679,134.0498199,131.935791
121.9580841,95.2905426,128.031189,128.7649536,137.3110962,137.399231
-58.72598267,100.6595688,118.0806732,113.225029,131.9296265,145.0980988
113.9110184,99.06221008,119.1271439,113.7962265,136.8693237,144.064621
110.1193619,109.5385361,120.5175171,117.200119,131.8791809,139.8310699
104.3009033,112.6134262,117.7556839,127.9866257,130.3654633,145.0843048
113.917572,110.1177597,117.7205353,122.4028091,133.0503387,133.4803925
111.6310349,113.8353195,105.7763977,113.6425095,138.6460419,133.6317749
116.143158,99.88749695,114.3603897,127.8792953,129.7456207,132.4468231
96.8179626,103.5008087,117.5957565,126.6119156,138.1577148,135.966217
99.1307297,106.5636902,116.1934052,116.4386215,127.1446686,129.5131989
113.5960922,115.4035416,122.2537766,121.0929184,129.2748718,133.9999542
95.95343781,113.997818,117.1217957,126.2412415,130.3181152,146.0032349
77.55375671,107.2422791,118.514801,120.6834259,132.8331757,139.4277191
115.4584045,118.0585022,124.1849365,121.6648331,131.4563599,136.3833466
111.1793442,111.6571732,106.3322372,124.7036896,138.3762665,139.3668518
85.36653137,111.7495728,109.2808609,125.966217,134.9928436,142.855423
103.7035522,124.6770706,119.9404144,126.5065079,140.9177246,130.9395142
115.3307495,117.9195251,115.499939,128.0653381,139.5443268,141.3154755
111.2869415,124.2982941,104.8793411,122.7452011,139.2749634,144.8941193
92.76609802,113.2197952,106.1470871,116.6924667,135.8628235,137.3028107
111.1686249,120.0029526,115.0363083,127.5605927,141.843338,138.9519043
112.3704758,115.1530914,118.4011765,114.3581085,129.34375,138.8137207
77.342453,98.72023773,118.8860779,120.6226578,141.1646729,140.8599091
118.3401642,102.8274918,118.6025009,123.8300781,134.8654175,136.6475067
97.6140671,114.064476,119.6881638,123.8715668,-79.43172455,145.3919067
76.36148834,101.424057,118.6582413,120.4276581,140.7543793,145.136673
76.99062347,101.2074814,116.1261368,124.6788254,135.0821381,140.7654266
120.789505,97.83308411,115.9475021,127.4508133,127.6880951,137.002243
103.1574326,116.9925232,122.4420319,124.289917,132.4298401,138.5185852
106.3607101,83.45072937,122.1277161,126.1588593,138.8090057,135.6424561
113.7947388,109.1069794,112.2691574,123.5569305,116.9978638,143.6550446
114.776474,122.4354553,114.3065643,119.5427628,141.5214844,133.6778564
111.5283737,124.0745926,117.3244247,125.0417633,125.1494293,131.4082642
104.6316071,122.9513779,113.2707825,124.6846008,127.8454132,136.8123779
111.2640762,103.5224762,114.8761826,126.0466385,132.5877686,133.2978516
116.6499176,109.5675812,116.1490021,123.2436142,137.6890869,138.5136108
109.0081406,122.0589905,114.1293411,126.2802963,141.547287,136.9396667
-75.57538223,119.3047562,118.1739655,124.2893829,133.3115845,143.9225006
124.5724945,122.6045914,117.6138,116.6095428,138.4632416,135.5058136
123.908493,112.8571243,116.6533356,121.7143631,130.307312,139.4508362
118.2986603,106.462471,114.9391403,120.8322296,131.2620087,146.935791
101.7932358,117.4144135,111.9077988,121.0864716,131.8148499,139.6466522
99.149437,116.1250839,113.6133881,119.1744919,132.2430878,138.6958923
84.63119507,118.3891144,108.9813919,124.3284073,137.184082,143.1291351
108.3830261,108.0600662,112.5396271,121.7301941,138.9906464,146.70784
104.1617966,110.5927582,115.0437469,128.6437225,136.9778595,144.3731995
116.999115,112.1221237,115.1105118,119.2577133,132.8133087,144.6303101
126.7846985,125.1611481,124.2809982,124.6912766,130.2143097,145.5208282
122.063858,123.0526123,118.678566,121.4380646,137.0998993,137.5300903
117.9151459,111.0783005,117.9679718,115.5196762,131.814621,131.2371368
102.1490936,110.6482468,117.7692719,125.3559341,132.5823364,146.0123138
122.67659,94.69420624,113.314682,123.1289978,136.7208557,144.6155243
91.06479645,123.7348022,118.6472855,122.1676865,140.478714,139.9891357
95.38829803,124.9033813,118.2652817,122.6362534,136.3217163,144.9017487
95.90428925,99.84300232,112.903717,124.1839218,137.3225098,131.447464
62.61670685,124.320282,115.5748367,119.353447,132.628891,138.0945435
98.2374496,115.7650986,120.9451523,127.6156616,140.2773438,146.5496216
114.2922211,109.2169266,122.4699707,126.5749969,137.1170959,144.036026
122.4705505,109.9612503,117.1239548,109.7760925,136.9007416,145.5570984
125.5389862,102.108963,114.7761841,127.2822418,139.9434357,140.188736
117.3331299,112.0528946,118.7198334,123.3970566,139.8440704,130.4842072
100.4915314,115.6898193,113.6041641,122.5229797,130.8654633,134.3798523
100.0303268,108.3847122,110.5264206,126.8527145,144.1714172,142.1788788
