Training (Lite),Training (Small),Validation (Lite),Validation (Small)
0.546875,0.658482134,0.5,0.5
0.834821403,0.959821403,0.46875,0.53125
0.921875,0.939732134,0.90625,0.59375
0.973214269,0.941964269,0.9375,0.875
0.993303597,0.982142866,1,0.90625
1,0.988839269,1,0.96875
1,0.988839269,1,0.96875
1,1,0.9375,1
0.982142866,0.997767866,0.96875,1
0.986607134,0.995535731,0.875,0.9375
0.988839269,0.997767866,0.90625,0.96875
0.993303597,0.995535731,0.96875,0.9375
0.993303597,0.997767866,0.8125,0.96875
0.995535731,0.997767866,0.9375,1
1,0.988839269,1,0.96875
1,0.984375,1,0.9375
1,0.988839269,1,0.96875
1,0.973214269,1,0.96875
1,0.997767866,1,0.96875
1,0.997767866,1,0.96875
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
