Training (Lite),Training (Small),Validation (Lite),Validation (Small)
0.690397978,0.61462605,0.693645656,0.708799005
0.638434589,0.129453138,0.693571508,1.566744566
0.418412387,0.16518639,0.568597555,1.043734312
0.170892432,0.110022321,0.164362401,0.329717994
0.064955488,0.048247099,0.0661726,0.21845144
0.026818499,0.029355152,0.039360225,0.067744918
0.012843431,0.026910832,0.03690457,0.179079607
0.008865122,0.005674096,0.149618059,0.02501856
0.026550133,0.022018379,0.051181354,0.034429859
0.032933347,0.009130566,0.344419599,0.151062414
0.034331109,0.003430257,0.401868224,0.032166887
0.027646422,0.012138445,0.042108539,0.082582675
0.023245262,0.00504955,0.611660123,0.048640613
0.015667381,0.014473638,0.096136965,0.0302817
0.006172135,0.02727226,0.009336653,0.142847314
0.001450289,0.027620096,0.012208831,0.178290129
0.003143373,0.024073498,0.001143859,0.062516294
0.002108432,0.089289255,0.008360805,0.065151915
0.001887903,0.024873694,0.009085502,0.042876381
0.001691881,0.004991003,0.008331931,0.080231145
0.000937905,0.002374658,0.005399334,0.00111003
0.000630114,0.002391027,0.00956684,0.013349954
0.000714264,0.000266538,0.006494207,0.007015161
0.000460767,0.000195081,0.008675131,0.00877489
0.00030882,0.000172902,0.004662944,0.00656158
0.000442625,5.32E-05,0.008026121,0.001185601
0.000429169,5.97E-05,0.007354101,0.00841765
0.000414501,4.86E-05,0.005708097,0.013710228
0.000366163,2.50E-05,0.006591136,0.017174572
0.000732533,0.000174161,0.00769104,0.01471131
