Training (Lite),Training (Small),Validation (Lite),Validation (Small)
0.672916639,0.740972209,0.493750006,0.506250024
0.993055582,0.989583313,0.9375,0.993749976
0.993055582,0.991666675,0.993749976,0.993749976
0.993055582,0.995833337,1,1
0.998611093,0.995138884,1,0.975000024
0.998611093,0.995138884,1,1
0.999305546,0.997916639,1,1
0.997222245,0.997916639,0.993749976,0.993749976
0.995833337,0.997222245,1,1
0.996527791,0.995138884,0.987500012,1
0.997222245,1,1,1
0.999305546,1,1,1
0.997916639,0.998611093,0.987500012,1.00E+00
0.996527791,1,1,1.00E+00
0.998611093,0.998611093,1,1.00E+00
0.998611093,0.998611093,1,1.00E+00
1,1,1,1.00E+00
0.999305546,0.999305546,1,1.00E+00
1,1,1,1
0.997916639,0.998611093,1,1.00E+00
0.999305546,1,1,1.00E+00
1,0.998611093,1,1.00E+00
1,0.996527791,1,1
1,0.995833337,1,1
1,1,1,1
1,1,1,1
1,1,1,0.987500012
1,1,1,1
1,1,1,1.00E+00
1,1,1,1.00E+00
