Training (Lite),Training (Small),Validation (Lite),Validation (Small)
0.443647146,0.162815198,0.610040724,0.79979825
0.044983804,0.031941991,0.141310707,0.012461746
0.022498274,0.022338893,0.030480396,0.017794792
0.015285949,0.011313533,0.006101933,0.001729104
0.006972595,0.015177135,0.002706047,0.046922687
0.004887741,0.018587885,0.002374682,0.007645826
0.006528594,0.009526278,0.005977875,0.002319195
0.012315425,0.011542634,0.011711415,0.025717031
0.00955127,0.009368501,0.001578636,0.000293668
0.007521513,0.013247019,0.013158066,0.003116187
0.006466667,0.001839073,0.001156746,0.000183618
0.002566878,0.000474243,0.001344786,0.000123663
0.005983513,0.0019556,0.02069428,9.59E-05
0.008651649,0.000742165,0.003918316,6.74E-06
0.005111023,0.001222778,0.000897868,1.44E-05
0.002620436,0.012823963,0.000244723,4.82E-05
0.000935141,0.000265345,0.00022634,2.85E-05
0.000865833,0.001971766,0.000158483,5.90E-06
0.001193169,0.000334854,0.000332801,0.000301267
0.007787473,0.003335596,0.005290285,9.31E-05
0.00339706,0.000223857,0.001191005,7.61E-05
0.00061829,0.004229039,0.000768111,6.53E-05
0.000758026,0.012883808,0.000457856,0.000618092
0.000123504,0.016720727,0.00118555,0.000711973
0.00058207,0.00066875,0.000558078,0.00013732
0.00021303,0.000431556,0.000451393,0.000640692
0.00010878,0.000156035,0.000309377,0.000750576
2.38E-05,6.51E-05,2.13094E-05,0.000161345
1.03E-05,1.11E-05,0.000011982,3.73E-05
1.83E-05,5.68E-05,0.000684115,3.02E-05
