six fx,six fy,six fz,six tx,six ty,six tz,dual fx,dual fy,dual fz,dual tx,dual ty,dual tz,,
-0.055599999,0.049899999,-0.463499993,-0.33129999,0.117299996,0.042399999,0.0273,0.287099987,-1.820799947,-0.056899998,0.0241,0.0042,,0.0042
-0.0287,-0.192599997,-0.059799999,0.094999999,0.084899999,0.0186,-0.202700004,-0.750400007,0.174099997,1.995200038,-0.551400006,-0.084399998,,0.084399998
-0.0244,-0.288899988,-0.282599986,0.298599988,-0.0669,0.0057,-0.334399998,-1.228999972,0.351900011,2.58769989,-0.673900008,-0.104900002,,0.104900002
-0.071800001,0.201299995,-2.166199923,-0.386700004,0.149700001,0.034400001,-0.243100002,-0.935500026,-1.51970005,2.436700106,-0.829599977,-0.093599997,,0.093599997
-0.317799985,-0.216900006,1.103099942,0.116300002,-0.912299991,0.044199999,-0.596800029,-0.328599989,-2.442300081,0.958299994,-1.699800014,-0.095100001,,0.095100001
-0.200100005,-0.126200005,1.135699987,0.161500007,-0.755500019,0.0425,0.098099999,0.386900008,-0.887899995,-0.331400007,-0.082699999,0.0294,,0.0294
-0.148100004,-0.079099998,-1.916000009,0.50849998,-0.652800024,0.228799999,-0.31220001,0.615400016,-4.004899979,-1.288100004,-0.345400006,0.055500001,,0.055500001
-0.210800007,-0.084799998,-0.1866,0.564899981,-0.580900013,0.0173,-0.0218,-0.277999997,0.376700014,0.621299982,-0.162900001,-0.0414,,0.0414
-0.391799986,0.574800014,-0.967700005,-1.286200047,-1.086899996,0.053800002,-0.164700001,-0.280099988,-0.266099989,0.772300005,-0.348800004,-0.0436,,0.0436
-0.712400019,0.148300007,-0.555199981,-0.559700012,-1.775300026,-0.052000001,-0.879000008,-0.600099981,-3.023400068,1.410599947,-1.864599943,-0.267199993,,0.267199993
-0.659699976,-0.114,-0.385199994,0.0117,-1.85010004,-0.063600004,-0.193399996,-0.395399988,0.325800002,1.077700019,-0.547500014,-0.059700001,,0.059700001
-0.702499986,-0.210500002,-0.099399999,0.603999972,-2.242899895,-0.081299998,-0.1109,0.0005,-1.199100018,-0.096799999,0.170100003,0.0067,,0.0067
-0.81309998,-0.204300001,-2.708899975,0.479799986,-2.592499971,-0.112899996,-0.067900002,0.0087,-2.217900038,0.122599997,-0.071099997,-0.0066,,0.0066
-1.414700031,0.479499996,-4.987500191,-0.528100014,-4.309299946,-0.198899999,-0.318599999,0.222399995,-2.555799961,-0.2368,-0.635699987,0.0096,,0.0096
-0.114200003,0.154300004,1.008599997,-0.447299987,-0.281199992,0.023600001,-0.2104,0.506900012,-2.256200075,-0.802100003,-0.432000011,0.016100001,,0.016100001
-0.050799999,0.028899999,0.959599972,-0.850899994,0.111000001,0.020400001,0.0137,0.544399977,0.0013,-1.307899952,-0.117200002,0.074100003,,0.074100003
0.050900001,-0.039700001,0.967000008,-0.502200007,0.127700001,0.0145,0.059500001,0.546000004,-0.218400002,-1.202600002,0.0244,0.066,,0.066
-0.068499997,0.045000002,-0.363299996,-0.630800009,-0.1822,0.0251,-0.215100005,0.33070001,-3.598099947,-1.128299952,-0.589699984,0.095899999,,0.095899999
0.158299997,0.268000007,-1.042099953,-0.538500011,0.057599999,0.043099999,0.086999997,0.36590001,-1.312000036,-0.698700011,-0.228699997,0.059599999,,0.059599999
0.252900004,0.515699983,-0.947099984,-1.02760005,0.193700001,0.067000002,-0.036499999,0.537800014,-2.205499887,-1.377799988,-0.203700006,0.122500002,,0.122500002
0.094899997,0.227500007,-1.959699988,-1.497799993,0.0229,0.0579,0.023499999,0.125499994,-1.082499981,-0.032400001,-0.453399986,0.062399998,,0.062399998
-0.733699977,-0.272300005,0.352100015,-0.189400002,-2.08010006,-0.0735,0.0458,0.505500019,-1.923200011,-0.971899986,-0.364899993,0.104599997,,0.104599997
-0.746800005,0.0601,0.293300003,-0.373699993,-2.155200005,-0.051899999,-0.123800002,0.199100003,-1.970999956,-0.546199977,-0.703100026,0.076300003,,0.076300003
-0.925999999,-0.083899997,-6.195799828,-0.817600012,-2.421099901,-0.246700004,-0.080399998,0.791299999,-2.678800106,-1.649999976,-0.638000011,0.161899999,,0.161899999
-0.386599988,-0.183200002,-3.612499952,0.221100003,-1.516899943,0.0493,0.1215,1.627099991,-1.927899957,-3.579600096,-0.168400005,0.151899993,,0.151899993
-0.089699998,-0.55400002,-5.598899841,0.619599998,-0.498299986,-0.077500001,-0.033,0.858699977,0.0691,-1.951599956,-0.216499999,0.100699998,,0.100699998
0.145600006,-0.513100028,-3.031800032,1.097499967,-0.0102,-0.068099998,-0.054400001,0.939599991,-4.616899967,-2.117199898,-0.547299981,0.166199997,,0.166199997
0.314300001,-0.313699991,1.144600034,0.705500007,0.798399985,-0.0162,-0.261200011,0.825800002,-4.567699909,-2.154000044,-0.853200018,0.124200001,,0.124200001
0.309700012,-0.317200005,0.779299974,0.593400002,1.031700015,-0.0059,-0.0548,0.816299975,-3.252500057,-1.606099963,-0.484899998,0.0691,,0.0691
0.387100011,-0.352499992,-0.371600002,0.492700011,1.147099972,-0.041999999,0.042599998,1.107800007,-4.007900238,-2.325700045,-0.516700029,0.209099993,,0.209099993
0.700999975,-0.261999995,1.505100012,0.451200008,1.852699995,-0.0156,-0.1655,1.10739994,-4.072999954,-2.196399927,-1.066699982,0.225799993,,0.225799993
-0.0047,0.164199993,-1.155900002,-0.545599997,-0.4023,0.077500001,0.024599999,1.389700055,-2.984899998,-3.550100088,-0.652100027,0.151099995,,0.151099995
