circle fx,circle fy,circle fz,circle tx,circle ty,circle tz,six fx,six fy,six fz,six tx,six ty,six tz,dual fx,dual fy,dual fz,dual tx,dual ty,dual tz,,
-0.050700001,-0.0103,0.418799996,-0.309899986,0.230399996,0.0145,0.118699998,-0.187199995,0.159999996,0.2051,0.816299975,0.0274,-1.011700034,0.412499994,0.739499986,-1.005100012,-2.386399984,-0.056000002,,0.056000002
0.166800007,0.408199996,0.211199999,-1.246299982,0.761699975,0.022399999,-0.306600004,-0.064499997,0.136999995,-0.25,-0.446999997,0.016100001,-1.730499983,0.408699989,0.394699991,-1.318699956,-3.019399881,-0.108900003,,0.108900003
0.204300001,-0.050099999,0.492599994,0.195099995,1.271100044,0.023399999,0.0027,0.475100011,-0.25060001,-1.532899976,0.433299989,0.029300001,-1.806300044,0.249500006,0.540899992,-0.600600004,-4.404200077,-0.068599999,,0.068599999
0.328799993,-0.142499998,0.430900007,0.129099995,1.576400042,0.039799999,-0.212599993,0.061799999,0.105599999,0.037900001,-0.507799983,0.0123,-1.617300034,0.047600001,0.734799981,-0.34709999,-3.799999952,-0.086400002,,0.086400002
0.045499999,0.090300001,0.717199981,-0.596099973,0.336100012,0.019400001,-0.437900007,-0.456999987,0.404900014,1.09070003,-1.008100033,0.0073,-1.265900016,0.237000003,0.940699995,-0.471799999,-3.150000095,-0.095200002,,0.095200002
-0.34709999,-0.350300014,0.451200008,0.585799992,-0.495499998,0.0154,-0.450199991,-0.245299995,-0.086000003,0.315899998,-0.890699983,0.0206,-0.67750001,0.409099996,0.617699981,-0.659799993,-1.955600023,-0.080399998,,0.080399998
-0.197999999,0.0515,0.758599997,-0.627200007,-0.078400001,-0.033100002,-1.087000012,-0.270300001,-0.569000006,-0.124899998,-2.104199886,0.150600001,-0.624300003,0.123800002,0.466600001,-0.346500009,-1.541399956,-0.077399999,,0.077399999
-1.055199981,-1.41929996,-0.47389999,2.028700113,-1.516899943,-0.039700001,-1.799900055,-0.80250001,-1.455600023,0.969200015,-2.92050004,0.3486,-0.683399975,0.238900006,0.932099998,-0.243599996,-1.646299958,-0.103600003,,0.103600003
-0.470400006,-0.743799984,0.502200007,1.217599988,-0.308499992,0.0004,-2.193399906,-1.514999986,-1.054700017,1.624600053,-3.355900049,0.193100005,-0.635100007,-0.077600002,1.040099978,0.100599997,-1.529000044,-0.1017,,0.1017
0.0458,0.125400007,0.148599997,-0.295300007,0.366400003,0.0198,-2.710700035,-1.382200003,-0.0163,2.130199909,-4.514500141,0.139300004,-0.530799985,-0.373400003,1.39260006,0.824199975,-1.617799997,-0.131200001,,0.131200001
0.154699996,-0.536499977,0.634000003,1.095100045,0.853399992,0.0228,0.107500002,-0.321799994,0.127900004,0.782800019,0.609600008,0.020199999,0.063699998,0.176899999,0.611899972,-0.666599989,0.210700005,-0.069700003,,0.069700003
0.0017,-0.234099999,0.446700007,0.480800003,0.424600005,0.022399999,-0.566100001,0.001,-0.071599998,0.213799998,-1.385800004,0.020199999,0.0174,0.499599993,0.53549999,-0.926999986,-0.0548,-0.073600002,,0.073600002
-0.345800012,-0.060899999,0.446099997,-0.120700002,-0.400299996,0.0221,-0.418900013,-0.0017,-0.074100003,-0.088399999,-0.709200025,0.0048,-1.267699957,0.268900007,0.56370002,-0.777400017,-3.324599981,-0.079700001,,0.079700001
0.045299999,0.180600002,0.443699986,-0.629499972,0.516600013,0.015699999,0.0088,0.389099985,-0.080700003,-0.885699987,0.450100005,0,-1.187700033,0.243200004,0.889699996,-0.619199991,-2.950500011,-0.081799999,,0.081799999
