circle fx,circle fy,circle fz,circle tx,circle ty,circle tz,six fx,six fy,six fz,six tx,six ty,six tz,dual fx,dual fy,dual fz,dual tx,dual ty,dual tz,,
-0.397300005,0.0068,-5.372200012,0.175600007,-0.596400023,-0.0298,-0.0757,-0.047600001,-0.064000003,0.0128,-0.053399999,-0.0121,0.280800015,1.102499962,-8.081000328,-3.096600056,1.943300009,0.0405,,0.0405
-0.591300011,-0.0405,-3.706899881,0.744799972,-1.303799987,-0.040600002,0.209900007,-0.171200007,-0.553499997,0.296799988,0.321399987,-0.0086,0.334600002,0.575100005,-9.303999901,-1.909600019,2.396300077,0.034200002,,0.034200002
-0.346100003,0.042800002,-3.822900057,0.657000005,-0.725099981,-0.049199998,0.226799995,-0.035100002,-6.201200008,-0.367599994,0.623199999,1.00E-04,0.046,0.955299973,-8.60929966,-2.727299929,1.611099958,0.070100002,,0.070100002
-0.507300019,-0.105700001,-4.453100204,0.622399986,-1.05369997,-0.032699998,-1.401800036,0.728699982,-1.751899958,-0.820500016,-1.322600007,-0.088,-0.073100001,0.544799984,0.070600003,-0.828599989,0.134399995,-0.059900001,,0.059900001
-0.397100002,-0.043099999,-3.999500036,0.632099986,-0.832000017,-0.039500002,-0.819999993,0.580500007,-0.921800017,-0.617399991,-0.610099971,0.0146,-0.0092,-0.192599997,0.614400029,-0.248099998,0.645500004,-0.066500001,,0.066500001
0.319799989,0.054699998,-3.983299971,0.151600003,1.283599973,0.0228,-0.563799977,0.231000006,-2.641900063,-0.476000011,-0.701699972,-0.0176,0.227599993,0.197400004,0.0396,-0.520699978,0.648100019,-0.063000001,,0.063000001
-0.266000003,0.409000009,-1.360299945,-0.921500027,-0.754000008,-0.007,-0.148900002,-0.0094,-7.68599987,-1.16900003,0.512300014,-0.042100001,-0.0559,0.044599999,0.238399997,-0.521000028,0.288800001,-0.131200001,,0.131200001
-0.048900001,0.224999994,-0.492599994,-0.424299985,-0.197799996,-0.0101,0.027799999,0.480100006,-7.645100117,-1.646100044,0.038899999,-0.035500001,0.482800007,0.273499995,0.824400008,-0.320100009,0.799499989,-0.059999999,,0.059999999
-0.0274,-0.038600001,-0.0141,0.0175,0.0027,-0.0024,0.060699999,-0.610199988,-2.256900072,1.410099983,0.484899998,-0.043900002,0.29460001,0.209600002,0.602400005,-0.212699994,0.381099999,-0.043200001,,0.043200001
-0.150000006,0.140799999,-3.685499907,-0.177300006,-0.211600006,0.0074,-0.0337,-0.023499999,-1.966199994,0.287900001,-0.489199996,-0.0144,0.431100011,-0.071699999,0.43900001,-0.164299995,0.693799973,-0.070900001,,0.070900001
-0.154499993,0.531199992,-3.395499945,-1.243899941,-0.0561,0.0394,0.242500007,0.102399997,-3.366499901,-0.238800004,-0.032299999,0.0175,0.128600001,0.0307,0.195899993,-0.264099985,0.764699996,-0.0493,,0.0493
-0.0526,-0.0274,-0.150800005,0.043900002,-0.087499999,-0.0046,0.1228,-0.154899999,-5.384300232,0.106799997,-0.221100003,0.034699999,-0.221000001,0.310799986,-5.061399937,-0.882600009,0.597100019,-0.0339,,0.0339
-0.351200014,0.0118,-1.193500042,0.038400002,-0.643899977,-0.0026,-0.231399998,-0.665400028,-1.901299953,1.519500017,-0.898100019,-0.0515,-0.081500001,0.723100007,-7.114099979,-2.074199915,1.516600013,-0.0054,,0.0054
0.129099995,0.081500001,-0.026699999,-0.094899997,0.250499994,-0.0056,0.046300001,-0.470800012,-3.950200081,0.50880003,-0.194900006,0.0174,-0.085900001,0.194299996,-4.708000183,-0.817200005,1.158100009,-0.085100003,,0.085100003
-0.246399999,-0.075599998,-1.705000043,0.303499997,-0.612999976,-0.0018,-0.588400006,0.097599998,-3.18479991,-0.276800007,-1.488399982,0.042300001,0.047200002,0.423200011,0.549300015,-0.979499996,0.225500003,-0.0429,,0.0429
-0.019099999,-0.020199999,-0.072700001,0.0517,0.070600003,0.0294,-0.101099998,0.089199997,-1.102900028,-0.152199998,0.082699999,-0.0072,-0.074600004,0.433099985,-0.0077,-0.806400001,0.129500002,-0.086999997,,0.086999997
-0.331699997,-0.150999993,-2.173700094,0.537800014,-0.782500029,0.0254,-0.579999983,0.487100005,-0.606000006,-0.471199989,-0.456400007,-0.023700001,0.0144,-0.1162,1.049999952,-0.177000001,0.035799999,-0.081200004,,0.081200004
-0.712300003,-0.60680002,-2.890100002,1.623399973,-1.916100025,0.040899999,0.071599998,0.1303,-3.004800081,0.521899998,-0.061000001,0.0043,-0.126699999,0.149700001,0.5,-0.309399992,0.0049,-0.059799999,,0.059799999
-0.0137,-0.065800004,0.090400003,0.490200013,0.0061,0.0117,-0.125699997,0.545400023,-4.442500114,-1.174900055,-0.216900006,0.034899998,-0.032400001,0.680999994,-0.056000002,-0.956499994,0.140400007,-0.066299997,,0.066299997
-0.023700001,-0.1778,-0.077600002,0.37560001,0.046300001,0.0128,-0.432099998,0.579699993,-6.907999992,-1.707900047,-0.469500005,0.082000002,-0.039500002,0.160799995,-1.962499976,-0.505999982,0.825600028,-0.093599997,,0.093599997
0.2245,-0.674799979,-0.225199997,1.866999984,0.488799989,0.024700001,-0.616400003,-0.176100001,-7.886000156,0.143000007,-1.662799954,-0.093800001,-0.0252,0.192499995,-0.0139,-0.62349999,0.198300004,-0.076700002,,0.076700002
0.029899999,0.132599995,0.107000001,0.0255,0.071500003,-0.0064,-0.203500003,0.078599997,-6.097799778,0.407499999,-0.239299998,-0.069499999,-0.183500007,0.195500001,0.288899988,-0.484499991,0.110399999,-0.082099997,,0.082099997
-0.0091,-0.176599994,-2.826499939,0.603900015,0.030099999,-0.0012,-0.0285,-0.817499995,-1.421000004,2.019599915,0.0528,-0.042199999,0.093900003,0.1461,0.566299975,-0.429500014,0.268299997,-0.082099997,,0.082099997
-0.941399992,-0.60860002,-3.94569993,1.523000002,-2.257200003,0.028000001,-0.286900014,0.245299995,-2.674799919,-0.461299986,-0.104500003,0.017200001,0.784600019,0.494800001,0.1884,-0.793500006,1.231299996,-0.075300001,,0.075300001
0.43810001,0.078599997,-3.664499998,-0.35769999,1.477200031,-0.030300001,-0.234300002,0.066699997,-7.727200031,-1.111400008,0.1052,-0.032299999,-0.195999995,0.561200023,-2.979000092,-0.805499971,-0.187600002,-0.081500001,,0.081500001
-0.090700001,-0.450500011,-0.54400003,1.056399941,-0.244399995,0.0119,-0.065300003,-0.013,-8.036700249,-1.458799958,0.202500001,-0.016100001,0.114699997,0.237599999,-2.750499964,-0.320300013,1.308099985,-0.138400003,,0.138400003
0.127499998,-0.275000006,-0.317900002,1.01699996,0.337300003,-0.0075,0.056299999,-0.171599999,-2.337199926,0.089400001,0.266000003,0.011,0.308099985,0.222200006,-3.949199915,-0.069700003,1.181200027,-0.106899999,,0.106899999
-0.024800001,-0.191599995,-0.532899976,0.662400007,0.059099998,0.0038,-0.422199994,0.407099992,-7.236400127,-0.287999988,-0.618200004,-0.0164,-0.087300003,0.749199986,-2.013999939,-1.762500048,0.158199996,-0.022700001,,0.022700001
0.086900003,-0.185599998,-0.200900003,0.545000017,0.195999995,0.0034,0.212099999,0.118900001,-0.929199994,-0.0167,0.210299999,-0.056299999,0.135499999,0.374300003,-1.156900048,-0.481599987,0.512300014,-0.069899999,,0.069899999
0.158399999,-0.117799997,-0.483200014,0.439999998,0.355100006,-0.015699999,-0.152600005,-0.458400011,-5.519299984,0.434199989,-0.78670001,-0.093400002,0.351999998,0.550199986,0.040600002,-0.766600013,0.487500012,-0.089100003,,0.089100003
-0.093199998,-0.29370001,-1.667099953,1.241700053,-0.750899971,0.017200001,-0.0995,-0.142900005,-1.074699998,0.546199977,0.128999993,-0.0142,0.421000004,0.734300017,0.198100001,-0.749599993,0.27610001,-0.108199999,,0.108199999
-0.43779999,-1.24969995,-0.56129998,3.084100008,-0.908100009,0.0003,-0.063600004,0.576200008,-2.327300072,-0.679199994,0.059900001,0.0085,-0.334600002,-0.218999997,-1.177700043,0.273499995,-0.708000004,-0.062600002,,0.062600002
-0.286799997,-1.347800016,0.456800014,3.493099928,-0.486499995,0.0019,-0.84890002,0.367500007,-3.346299887,-0.884299994,-1.299200058,0.0112,-0.313600004,-0.073200002,-7.510900021,-0.220799997,-1.270099998,-0.050500002,,0.050500002
-0.055599999,-1.173499942,0.355699986,3.2421,-0.253699988,0.004,-0.263700008,-0.026000001,-1.588400006,0.198699996,-0.49000001,0.0053,-0.275599986,-0.268299997,0.425000012,-0.115800001,0.051199999,-0.129800007,,0.129800007
-0.147100002,-1.230800033,0.463800013,3.264499903,-0.328399986,-0.0095,-0.486400008,-0.650600016,-2.057800055,2.075400114,-1.505499959,-0.092299998,-0.247700006,0.196500003,0.067599997,-0.431800008,-0.079099998,-0.084100001,,0.084100001
-0.077299997,0.172199994,-0.259000003,-0.0995,0.0071,-0.0113,-0.384000003,-0.230299994,-4.59499979,0.537,-0.644800007,-0.021199999,0.104599997,-0.020300001,-3.383699894,-0.275000006,1.320199966,-0.103,,0.103
0.100199997,0.139799997,-0.262600005,-0.045299999,0.148900002,0.006,0.238299996,0.386900008,-1.434800029,-0.371399999,-0.0134,0.0165,-0.076800004,0.450599998,-5.680500031,-1.005300045,0.459800005,-0.032699998,,0.032699998
-0.296600014,-0.035100002,-1.506000042,-0.071400002,-0.382800013,0.0165,-0.317600012,-0.408600003,-2.124500036,0.377200007,0.265500009,-0.050500002,-0.067400001,0.380899996,-0.83160001,-0.495999992,0.517700016,-0.073899999,,0.073899999
-0.853999972,-0.412299991,-4.154900074,1.19780004,-2.013600111,-0.002,0.1021,0.977100015,-0.753000021,-0.80369997,0.0103,-0.0117,0.312700003,0.488700002,-3.648000002,-1.23969996,1.852699995,-0.0014,,0.0014
-1.223700047,-0.66079998,-3.859400034,1.583600044,-3.003200054,0.0015,0.0964,0.153099999,-3.871500015,-0.115999997,0.67019999,-0.0176,0.015799999,0.870999992,0.193900004,-0.984799981,0.365399987,-0.108599998,,0.108599998
0.118799999,0.119199999,0.114699997,0.058899999,0.133200005,0.0091,-0.247799993,0.103299998,-8.872400284,-1.728899956,0.934599996,0.032299999,-0.147599995,0.444900006,-1.153399944,-0.838400006,0.022,-0.055500001,,0.055500001
-0.0041,-0.088699996,0.092100002,0.126800001,0.135700002,0.0098,0.152400002,0.702700019,-8.011400223,-3.103300095,1.265699983,0.092900001,0.428000003,0.549199998,-0.178399995,-0.775600016,0.531400025,-0.083700001,,0.083700001
0.031099999,0.047600001,0.0405,0.059099998,0.046999998,-0.008,-0.845099986,-1.104200006,-3.0776999,1.137300014,-1.037999988,-0.0788,0.283600003,0.6347,-0.782500029,-1.243399978,0.584699988,-0.0612,,0.0612
0.083800003,-0.217700005,-0.796199977,0.822600007,0.138999999,0.0187,-0.247400001,0.283300012,-1.018900037,-0.0229,-0.076700002,-0.055100001,-0.44690001,0.786199987,0.251899987,-0.968999982,-0.235499993,-0.068700001,,0.068700001
0.043400001,0.122400001,-0.2359,-0.102499999,0.064099997,0.0083,-0.264299989,-0.185699999,-3.461499929,0.560699999,-0.564599991,-0.0206,-0.057100002,0.563000023,-4.501699924,-0.76880002,0.567399979,-0.047899999,,0.047899999
0.327100009,0.613499999,-1.870900035,-1.493800044,0.671500027,-0.0004,-0.240500003,0.121200003,-6.888800144,-0.668299973,0.139699996,0.0535,0.395099998,0.060400002,-6.685800076,0.0253,1.590899944,-0.016799999,,0.016799999
-0.1602,0.087300003,-0.176599994,-0.0089,-0.103100002,0.0125,-1.090000033,0.094800003,-5.694699764,-0.311100006,-2.1947999,-0.0425,0.718800008,-0.368600011,-1.114099979,1.297899961,1.846199989,-0.148699999,,0.148699999
0.016000001,0.102799997,-0.098399997,0.067000002,0.048799999,-0.0054,-0.268299997,-0.439099997,-1.253399968,0.490500003,-0.325800002,-0.017200001,0.072300002,0.363999993,0.463,-0.591199994,0.31099999,-0.080799997,,0.080799997
