ep_r,ep_r GRU,ep_r PG,ep_r PG GRU,alpha,alpha GRU,alpha PG,alpha PG GRU,step,step GRU,step PG,step PG GRU
-109.392601,-288.4524841,65.65496063,112.8023911,1,1,1,1,16,50,31,13
-182.1317749,-95.50565338,111.4078598,94.95606232,0.952517271,1,1,1,50,11,14,18
-185.4976044,-71.44811249,88.03334808,82.8687973,0.931289196,0.993714392,0.97772789,0.977753818,25,7,25,25
-62.99713516,-63.30509186,97.48248291,99.73545837,0.920450747,0.986570597,0.942699432,0.941716254,6,8,17,16
-197.6574402,-69.22498322,100.5784531,105.4634705,0.89191401,0.981253922,0.917930245,0.920912325,24,6,16,18
-55.02809906,-144.1145782,107.9291458,38.92060089,0.887906313,0.966356039,0.907501817,0.880223751,5,17,15,50
-78.89183807,-45.70016861,110.5073242,82.22090149,0.878359854,0.926475763,0.898044288,0.862523496,12,47,14,21
-24.11647797,-215.3261566,96.75189972,75.32983398,0.840133429,0.904981554,0.886671603,0.846944511,50,26,17,20
39.36730194,-232.6127319,68.90790558,109.9652939,0.822407722,0.876890898,0.867908239,0.836780906,25,35,28,14
96.40999603,-159.1031342,110.052536,107.94487,0.810374916,0.862071514,0.859231293,0.827502131,18,19,13,13
-57.10882568,-241.0474701,-145.2348022,96.12810516,0.806508958,0.835425615,0.831969321,0.816772699,6,35,50,16
89.82146454,-94.79244232,117.2350769,113.7298965,0.794717014,0.825735807,0.826153398,0.809019208,19,13,12,12
50.10778427,-80.2922287,90.7504425,112.8003769,0.77036649,0.818356574,0.815319359,0.801058888,41,10,22,13
-115.5160065,-102.4095459,112.9571533,112.4205933,0.741464138,0.810321689,0.809094131,0.795383632,50,11,12,10
-344.9404907,-177.626709,116.000206,119.1074982,0.712664545,0.793079257,0.804081321,0.79059577,50,24,10,9
-74.69078064,-293.2806091,118.4937134,123.4107819,0.682238996,0.758275867,0.789681375,0.780440748,8,50,12,10
70.3290329,-47.06299591,119.3423309,54.03006363,0.645325243,0.755565941,0.77643764,0.755291045,34,4,10,38
86.2204895,-93.41639709,103.5098495,121.7120667,0.632309437,0.747496545,0.769631326,0.749424756,23,12,13,11
-184.8905182,-51.0573616,97.17653656,121.807579,0.580245376,0.744824231,0.725205302,0.72120434,28,4,18,10
-56.27062225,-110.0681,97.11932373,112.6358948,0.578553319,0.736219823,0.718401968,0.715793371,4,13,14,12
100.1680908,-198.8129272,103.7827759,104.5217667,0.572012365,0.704227865,0.711018205,0.709366679,16,50,15,14
-50.77168655,13.29483986,117.8295975,115.9974899,0.57039535,0.6802966,0.705480039,0.704888284,4,40,11,10
114.5705719,-107.9464569,107.0077286,127.0799484,0.565676749,0.673370481,0.698563457,0.700809896,12,12,14,9
102.9349899,-59.12633133,93.25504303,122.4358521,0.555396378,0.669892251,0.681459248,0.691877782,14,6,17,10
82.71548462,-92.18643951,120.8428726,116.6415787,0.541059375,0.663547456,0.665377378,0.676315129,25,11,11,10
-100.1167831,-63.08753204,-45.02521896,123.8114471,0.53711623,0.66067636,0.662882149,0.673197687,12,5,5,7
-118.3866959,74.9566803,98.04328156,114.4292221,0.530739665,0.646001458,0.642902851,0.663421929,17,26,16,11
-88.85865021,-61.03524017,117.824234,116.3690338,0.527453542,0.642188966,0.63760072,0.658825815,11,7,11,11
-57.43014526,3.336712122,109.0106659,123.1523895,0.525940537,0.622722447,0.631281793,0.654771447,5,38,13,10
-59.4725914,104.1690598,101.3973389,116.0549011,0.52395606,0.614088774,0.624221325,0.650620878,7,18,15,11
111.6456909,-62.72711182,118.2476807,118.3455276,0.512150705,0.611703277,0.61165309,0.642297745,13,5,11,11
-56.40690231,-57.67449188,115.7813873,121.3179016,0.509881437,0.608885825,0.599968255,0.633321166,5,6,12,11
-58.91498947,-51.47822952,119.987587,118.3568802,0.508543849,0.607006431,0.594421566,0.62896353,5,4,12,12
120.9683151,-50.57704163,113.3803177,118.3680878,0.501992106,0.604715288,0.569051445,0.613223016,9,5,14,11
56.21533585,-53.45785522,-137.3111725,110.3485794,0.493144304,0.602030873,0.546491444,0.609179974,41,6,50,11
-55.20707321,118.2240067,60.86129379,114.4093094,0.492362231,0.597009957,0.532118797,0.605466306,4,11,31,11
103.0165329,-52.90283585,47.92601013,112.5127335,0.489724159,0.59518981,0.517382085,0.601197839,14,4,32,11
68.0974884,-52.89066315,117.3962173,119.2618256,0.483568072,0.593386173,0.511867642,0.596216381,35,4,12,13
-50.21628952,-63.44379044,121.6871872,119.0943222,0.477460384,0.590748727,0.494173825,0.586253524,4,6,11,12
-50.77461624,88.55086517,115.6056213,117.1631927,0.476804793,0.579587579,0.489709198,0.581985831,4,26,11,12
