ep_r,ep_r GRU,ep_r PG,ep_r PG GRU,alpha,alpha GRU,alpha PG,alpha PG GRU,step,step GRU,step PG,step PG GRU
-200.5177612,-158.5491333,129.9072266,130.5493469,0.95596683,0.956056595,0.961140752,0.97251147,50,50,44,31
78.030159,-86.99985504,138.0196991,-71.46017456,0.914540589,0.906165838,0.896950662,0.918123662,41,50,31,41
-91.23895264,-154.4423676,141.3917084,139.1160126,0.876231432,0.866719186,0.878903091,0.90467298,50,50,27,28
-107.7487946,-49.23151016,138.8059692,138.5892029,0.821002185,0.817106545,0.834913433,0.878275752,35,17,42,38
36.52473068,110.0659409,138.3017273,125.2189026,0.771478593,0.772049367,0.812954664,0.872315824,46,42,10,13
-76.90877533,-87.46344757,-38.37371063,-65.03492737,0.74318409,0.741513729,0.799443543,0.871444702,50,50,50,10
45.87416458,-42.49603271,141.4043884,143.9119263,0.714304388,0.71276778,0.796812057,0.869760334,50,50,11,10
51.55931473,-36.29821396,143.8235931,142.0415497,0.688870311,0.684729874,0.793119013,0.867650688,45,50,15,9
-111.1531906,-48.79247284,136.7169647,147.2212372,0.66108793,0.657943547,0.788967073,0.865056217,50,50,13,9
-101.1379852,-49.85536575,136.0161896,137.2611694,0.634222329,0.631800294,0.784772515,0.861849606,50,50,12,9
62.40868378,-49.20185852,-60.22046661,132.8205261,0.611473978,0.606331468,0.766458571,0.857854128,43,50,42,9
91.32549286,-43.66856766,140.5503082,126.1970825,0.591205895,0.581527948,0.758842051,0.852982879,39,50,16,10
-94.75255585,-46.52354813,134.0817108,136.9892883,0.566096723,0.55733484,0.751494825,0.848314345,50,50,16,9
-117.136879,-59.8198204,139.2547913,140.2861938,0.541943133,0.534027755,0.743837893,0.842441678,50,50,16,10
-87.94199371,-54.26098633,137.1428375,140.3583221,0.518387914,0.511439681,0.731981993,0.83674413,50,50,22,9
-81.83058167,-59.89223862,128.2415009,136.7596436,0.474891722,0.468299299,0.688084722,0.825389087,50,50,30,9
69.3497467,127.5777359,-40.65541458,143.4223175,0.437796116,0.435667306,0.634253561,0.808885813,45,31,50,15
108.048027,126.6060257,-6.74861002,134.9989624,0.425978094,0.429409176,0.60383904,0.801311374,33,17,50,11
81.00923157,124.8431625,140.0570679,129.0075836,0.360213459,0.398973018,0.525912642,0.749371231,48,17,20,18
-73.12602234,128.8791046,138.8191376,132.3912354,0.345582545,0.394484162,0.518021286,0.738034725,50,15,19,15
-81.2463913,-74.58101654,140.2640076,139.7784729,0.331307292,0.379898459,0.510060608,0.730777502,50,50,19,9
114.4624252,135.2639618,127.6605835,136.2860718,0.32220149,0.375956267,0.497087538,0.722724855,33,14,31,10
-100.1306381,143.8573761,142.5483704,134.4452972,0.309409291,0.372371346,0.491576612,0.715421438,50,13,14,9
-97.66848755,136.6142883,124.2055664,128.5427246,0.292101532,0.366631389,0.458596706,0.692513168,50,10,30,18
-89.32407379,145.548996,137.0450287,83.31097412,0.264166802,0.357803971,0.437540829,0.665017784,37,10,21,9
-32.49049759,141.8769531,138.2274475,142.8625793,0.26244846,0.355013311,0.431168765,0.658418357,8,11,18,10
116.504776,132.0694122,130.4164124,134.6402588,0.247047126,0.349523127,0.41737324,0.636872113,26,13,19,12
121.0259171,140.024353,136.1723175,144.8548279,0.242436931,0.347167432,0.412438035,0.628654063,25,10,14,13
121.4101715,137.2327271,134.6855469,127.489296,0.237912446,0.344875664,0.406630844,0.617720723,26,10,17,18
