ep_r,ep_r GRU,ep_r PG,ep_r PG GRU,alpha,alpha GRU,alpha PG,alpha PG GRU,step,step GRU,step PG,step PG GRU
-198.3354988,-180.1972961,78.16101837,95.28657532,0.88701129,1,1,1,33,31,25,20
-249.7259674,-256.3085022,89.40415192,112.8643951,0.810746074,0.956007719,1,1,50,50,17,11
-229.1245422,-287.0336304,72.85272217,107.0396271,0.775253356,0.913931668,0.97775209,1,50,50,25,12
-279.4233704,-264.4477539,86.87298584,95.4364624,0.709287405,0.873705864,0.951881289,0.968580186,50,50,22,20
-47.95264435,-326.011322,87.33122253,43.32904434,0.696847081,0.835305929,0.921612203,0.922121525,3,50,22,34
-175.3052216,-210.5614624,-137.0797119,5.761715412,0.681658447,0.81603092,0.882349849,0.888283014,25,26,50,42
-135.6548309,-246.6058502,103.9472198,113.7420502,0.669728458,0.780158281,0.872938812,0.878469825,20,50,13,13
-173.1784821,-291.8668518,71.25382233,90.72781372,0.651094198,0.745841801,0.857913792,0.866664469,32,50,22,16
-220.0676117,-157.2748108,69.55215454,107.2937622,0.629725337,0.726065099,0.837746143,0.854504466,38,30,29,17
-128.2997437,-4.246330738,86.97853088,72.8088913,0.61829257,0.704286218,0.824828029,0.835626483,21,34,19,28
-152.4312897,-334.0462646,101.6299438,95.46297455,0.604425311,0.673367202,0.815599799,0.825273037,26,50,14,16
97.79782104,-246.796936,99.09242249,114.746933,0.596606672,0.643910408,0.80629015,0.817464352,15,50,15,12
-385.7529907,-246.1296844,78.33441162,94.3551178,0.57152921,0.615856588,0.795794487,0.807213247,50,50,18,16
-210.1709442,-260.101593,77.06022644,99.96817017,0.558478355,0.589030266,0.785182178,0.797935009,27,50,19,15
-231.9929504,-22.79318237,104.2023621,100.6499252,0.540218472,0.568544567,0.778538465,0.78899622,39,40,12,15
-280.1918335,-197.0015564,112.7472687,107.3693466,0.510841429,0.551306129,0.767221272,0.775922418,50,35,11,14
-170.5823212,-145.0890198,113.4386368,121.9577408,0.473807931,0.541724503,0.755290508,0.765444994,50,20,11,11
-140.7826385,-209.0305939,90.74325562,-45.50082397,0.455104887,0.524897277,0.748016059,0.763797283,50,36,15,3
-91.91410065,-245.2853546,107.1652451,106.6281357,0.409162283,0.502386034,0.698502719,0.730916739,14,50,12,12
-212.265564,-130.3806152,103.2749557,82.99234009,0.397625089,0.494136512,0.690981686,0.722181737,36,19,16,16
-222.3424988,-198.1352539,112.9354248,98.80206299,0.385558754,0.48099041,0.686361849,0.71437037,39,31,10,15
-177.3626099,-184.6799774,93.53419495,101.5811539,0.376531601,0.468204767,0.679600358,0.707395077,30,31,15,13
-278.7676392,30.03897095,109.9303131,97.05774689,0.363645077,0.457764059,0.674277484,0.698032498,44,26,12,17
-169.1877441,-178.4313354,95.58197784,89.59355927,0.339453757,0.446521848,0.660256922,0.681319416,40,29,15,15
-252.2839355,-151.3246307,88.40676117,124.6594086,0.308392018,0.437791526,0.640202165,0.661891639,46,23,17,8
-218.6375732,-279.1269836,91.47384644,99.77649689,0.300211668,0.420357347,0.634021997,0.654813051,36,48,15,12
-158.4387512,-160.342865,102.6664734,101.1489487,0.278576702,0.41226542,0.62227428,0.638967633,50,23,14,13
-239.0154724,-72.09117889,85.19809723,101.343399,0.269327611,0.409158409,0.616361558,0.631844997,46,9,16,13
-314.8692627,-197.8478241,69.6823349,75.8632431,0.259618223,0.397594988,0.607233405,0.621268034,50,34,23,20
