six fx,six fy,six fz,six tx,six ty,six tz,dual fx,dual fy,dual fz,dual tx,dual ty,dual tz
-0.044577524,0.730940878,-15.44696522,-0.167721421,-0.00929081,-0.062699437,-0.118548535,-0.088452369,-14.3299427,0.022279631,-0.006387774,-0.001001882
-0.096653841,0.521539986,-17.10730743,-0.069319554,0.010715838,0.00095256,0.089885816,-0.311976314,-10.71320438,0.086298548,0.037373811,0.000633164
-0.059568655,0.558071256,-13.31059361,-0.181116909,-0.063060626,0.016044777,0.142643064,0.381490588,-9.81404686,-0.107720599,0.074135683,-0.007781226
-0.609949827,1.204604506,-12.90188885,-0.3608464,-0.025679475,0.017367221,0.346386224,0.526972115,-10.13077831,-0.150951162,0.131811023,-0.010805572
-0.018164953,0.24186416,-0.11609146,-0.074661031,-0.005518537,-0.001612716,0.630477846,0.60757184,-9.660430908,-0.171706229,0.198450416,-0.017513204
-0.069391698,0.202743828,-0.112316303,-0.062069494,-0.022238504,-0.002000412,0.510907412,-0.019756922,-0.203628644,0.005916466,0.133656889,0.0016731
0.687006474,1.234108806,-16.9822979,-0.324392974,0.141804829,0.03940881,0.174862429,0.167051673,-0.177410409,-0.045254532,0.044347301,-0.001810859
1.055361748,0.755121529,-18.83347893,-0.163728788,0.369550526,-0.000453297,0.144406155,0.180793852,-0.161914244,-0.048609365,0.036327865,-0.0020601
1.453504801,0.189505935,-9.17688942,-0.123829246,0.444884747,-0.002758123,-0.345077723,0.095135897,-10.91640186,-0.022304421,-0.086498171,-0.003442619
1.18346715,0.919026136,-8.874477386,-0.350997269,0.261931121,-0.017706668,0.398718923,0.16209498,-11.85633278,-0.044642515,0.114192367,0.000804981
0.051815826,0.09223903,-0.013590913,-0.028812144,0.015221212,0.000681411,0.683271766,-0.125770703,-11.12692165,0.027201302,0.174850196,0.000495348
0.046294563,0.074394204,-0.020899612,-0.023115067,0.013745835,0.000600465,0.229200155,-0.103515834,-9.055073738,0.015999885,0.017304316,0.003925799
0.024717353,0.031982064,-0.009362642,-0.010086986,0.007388884,0.000346206,0.422410935,-0.161178872,-8.644338608,0.01135122,0.020174334,-0.000656376
-0.021234423,0.392174602,-6.343015194,-0.029543715,-0.005910193,-0.000267238,-0.004525937,-0.000534218,-0.001642104,9.15E-05,-0.001413574,4.77E-06
-0.293572485,0.492250353,-6.525268078,-0.05972223,-0.09230943,-0.004318187,0.004673273,0.001038103,0.001343196,-0.000189983,0.000620929,1.74E-06
-0.134671733,0.422000319,-8.003300667,-0.014838726,-0.043151408,-0.002003408,0.000943506,0.000582045,0.002266622,-7.76E-05,-0.000755531,-2.11E-06
-0.005016687,0.001134083,-0.000489106,-0.000355567,-0.00132912,2.71E-05,0.32408455,0.015182557,-18.47901535,-0.012930103,0.077799149,0.001140243
-0.097032964,0.013560052,-0.02915195,-0.004261642,-0.02928956,-0.000498028,-0.450439423,-0.33137992,-12.20485115,0.076819278,-0.160383627,0.003717702
-0.126232311,0.069991529,-0.054341149,-0.021840744,-0.039616045,-0.000441606,-0.858388364,-0.054829508,-11.30045033,0.014480298,-0.224162653,0.002254447
0.562783003,1.414506674,-10.23345184,-0.352834791,0.202418476,0.004979377,0.040537894,-0.191161841,-9.678491592,0.042151321,-0.006035588,0.003551048
0.682363927,1.311096787,-9.641627312,-0.311082661,0.18927075,0.00255842,0.598990023,-0.121516146,-7.806361198,0.014838979,0.102190048,0.016378414
0.067476049,1.204572558,-9.155480385,-0.282153338,-0.036608651,0.000639254,0.592974126,0.541857958,-11.13366985,-0.154780373,0.132545471,0.016500853
-0.459716439,0.802689016,-8.382936478,-0.160221219,-0.2002666,-0.009903227,0.839607477,0.641752124,-7.872369289,-0.182130471,0.198296875,0.024463825
-0.001371711,-0.003105016,-0.000441922,0.000418903,-0.000235362,-6.14E-06,0.007328314,0.081649393,-0.023757357,-0.022404471,0.001357421,0.000972001
0.001825918,-0.001504445,0.000363835,0.000271727,3.47E-05,-1.88E-05,0.037731558,0.105009466,-0.06248549,-0.028277386,0.011089448,0.001422969
0.003633402,0.00153238,-0.000809324,-0.00040843,0.000599114,-1.41E-05,-0.453257173,-0.24894549,-10.81697273,0.06936229,-0.111997701,0.001972885
-1.279165864,1.543571949,-9.183931351,-0.38782984,-0.338040292,-0.00273552,-0.597065568,0.464990973,-9.980514526,-0.131454512,-0.145224512,-0.000472088
-1.3034935,1.700067878,-8.212915421,-0.456747562,-0.338357747,-0.002703496,-0.089230716,0.321270108,-10.68751431,-0.091995053,0.003642777,-0.000161001
-0.588028729,1.455910444,-9.238394737,-0.362391829,-0.115650922,0.003451096,0.122604698,-0.132304654,-9.616855621,0.028007383,0.064584486,-0.001962962
0.162916347,0.974052906,-8.732766151,-0.22323668,0.134701684,0.002053005,-0.663303018,-0.318291068,-7.539933681,0.057045475,-0.094589733,-0.002277407
0.653538048,0.407754213,-8.797595024,-0.038358115,0.277747214,0.01027651,-0.006312641,-0.00098206,0.001565719,0.0002432,-0.001271999,-3.87E-05
-0.003835937,-0.003460771,0.001387094,0.000406087,-0.000954017,-2.74E-06,0.003178486,0.001720208,0.00123344,-0.000326604,8.72E-05,-1.26E-05
-0.005085581,-0.00050328,0.00056736,-8.08E-05,-0.001068512,5.44E-05,0.004287734,-0.000830223,0.000500561,0.000163155,0.00052258,-1.55E-05
0.002910674,0.003827115,0.000557579,-0.000904896,0.000454349,-9.42E-06,-0.002464494,-0.002015368,0.003258135,0.000352679,-0.001209098,-1.51E-05
-0.861890316,1.655719638,-9.680596352,-0.426791131,-0.183208659,0.025545159,-0.218356565,-0.282664478,-10.51465321,0.072006054,-0.07219813,0.001353889
-1.003937006,1.425825953,-8.807701111,-0.364996225,-0.241077065,0.000794388,0.145145029,-0.200586632,-10.8728447,0.053946532,0.039261628,0.001265
-1.038460612,1.289623976,-9.207918167,-0.305974305,-0.263116062,-0.001805463,-0.124830961,-0.106542677,-9.713622093,0.021851698,-0.059943359,0.005665586
-0.7544595,0.367257744,-9.118071556,-0.025412286,-0.162451014,-0.004267647,0.668429554,0.428542316,-8.730747223,-0.13313666,0.116375953,0.022533624
-1.262927175,-0.347394586,-9.187794685,0.206538811,-0.334421188,-0.01443296,0.262955874,0.279655963,-0.373108089,-0.074629247,0.071947955,0.008837291
0.007396633,0.003111381,0.00073034,-0.000711803,0.001118898,1.78E-05,0.095524535,0.242098287,-0.169492245,-0.065225847,0.0276225,0.003048243
0.003344106,-0.000683164,0.001719013,0.000121017,0.000233132,9.43E-07,0.124710627,0.23407416,-0.202446282,-0.062791221,0.035244707,0.00356114
0.000886251,-0.000947508,5.74E-05,0.000170286,0.000188728,-1.54E-05,0.020029292,0.209741578,-0.158191949,-0.056332074,0.006705707,0.002395955
1.163887143,3.087763309,-10.80996513,-0.859590173,0.368588924,0.002707428,0.037618436,0.080137596,-17.28335571,-0.025485277,0.024899716,-0.002342917
1.340961814,2.220375061,-12.02385139,-0.579513133,0.44797188,0.01657558,0.501916528,-0.530724168,-9.83215332,0.141661614,0.133874819,0.003649463
0.797990143,1.624602199,-10.33839989,-0.404194564,0.21594809,0.005215797,0.813358068,0.078500457,-10.12946033,-0.024464879,0.211208761,0.00726709
0.07936012,1.189484835,-9.788002968,-0.259374291,-0.02715851,-0.00984702,0.97518599,0.976033032,-10.1447916,-0.26741308,0.263414204,0.020245118
-0.303358942,0.760235846,-9.953195572,-0.122332931,-0.146494046,-0.008142825,0.957307398,0.924330235,-9.882200241,-0.251735181,0.257238299,0.017024793
-0.013318421,0.000992687,0.002003816,-0.000356272,-0.003036368,-2.98E-05,0.313890547,0.579374731,-11.01690769,-0.162848935,0.089586079,0.004626364
-0.004297593,-0.001152859,-0.000994975,6.28E-05,-0.001420374,5.92E-06,-0.511984169,-0.02201613,-8.037753105,0.033940949,-0.063566238,0.013786905
0.000609713,0.001742278,0.001990579,-0.000458759,-0.000235944,-2.72E-05,-0.045881595,0.096288942,-0.014124993,-0.026018554,-0.013659293,0.001078523
0.004333377,0.001602862,0.000789854,-0.000348763,0.00020695,1.09E-05,-0.142627388,0.210380137,-0.147535443,-0.055626199,-0.036716305,0.002195259
1.787480831,1.206087828,-8.140305519,-0.367392004,0.581379652,0.004315224,-0.519766033,-0.049282592,-10.69964886,0.011647498,-0.138863012,-0.004261602
1.956906676,1.22770524,-13.24371719,-0.206036791,0.585488677,0.014963397,-0.751430094,0.01246214,-10.26397896,-0.003986976,-0.194888517,-0.005353626
1.175637603,1.424786568,-14.56265354,-0.262519747,0.316448867,0.001340427,-1.015330911,-0.16658619,-9.448631287,0.034646012,-0.231739774,-0.009511377
0.465968341,1.727033854,-13.66196442,-0.386030108,0.077030629,-0.009643627,-0.616834104,0.285197616,-8.286205292,-0.096804276,-0.09167733,-0.022377435
-0.090748549,0.657946825,-9.384754181,-0.12543501,-0.12693575,-0.006751728,-0.227715686,0.208806515,-0.230782107,-0.0568562,-0.063152358,-0.005633129
0.365186483,0.479035676,-15.29735756,0.042316396,0.055267114,0.0041839,-0.154007822,0.297284275,-0.517655909,-0.078488342,-0.04428079,-0.009142671
-0.006933973,-0.000261752,-0.000449562,-0.00022257,-0.001813205,-1.24E-05,-0.1405112,0.258293897,-0.176032558,-0.069711201,-0.040186018,-0.003247844
-0.002320863,0.000480855,-0.00050794,-6.62E-05,-0.000682932,2.36E-05,-0.126713812,0.197221637,-0.173404753,-0.053120784,-0.036957797,-0.002565175
0.00376091,-0.004167418,-0.000548178,0.000735047,0.000621689,2.46E-05,0.34277606,0.310352594,-11.53794765,-0.08154463,0.101110831,0.003609081
0.003454152,0.000924801,0.000936017,-0.00018709,0.000673115,-7.58E-06,0.888731837,0.735615134,-10.4563818,-0.202034548,0.225953579,0.015919317
0.066913396,2.211967945,-8.061394691,-0.57813251,0.020174013,0.000837218,0.81424439,0.869642377,-8.742476463,-0.251524955,0.157021567,0.022529509
0.293499976,2.10048604,-7.942166328,-0.540534258,0.091185257,0.004099971,0.385092676,0.69221884,-8.945638657,-0.212662891,0.021420524,0.005395665
0.631884992,2.106352568,-8.609924316,-0.542310596,0.199234486,0.009315211,0.025342043,0.176520005,-0.316934168,-0.046879448,0.007526049,0.008076314
0.462554306,0.945560455,-8.163186073,-0.177895233,0.146017134,0.006843416,0.14345853,0.228440821,-0.12058533,-0.061511543,0.039981686,0.003176225
0.417956352,0.481442004,-7.789354324,-0.036495149,0.132139236,0.006186566,0.142436326,0.325497538,-0.386134416,-0.087627426,0.040375523,0.007222218
0.001493265,0.001391533,0.000443355,-0.000376166,-0.000144067,3.69E-05,-0.168034703,0.636393964,-18.12867928,-0.183163956,-0.06649477,-0.010514654
0.003418515,0.00080705,0.00067304,-0.000302869,0.00079516,-1.66E-05,-0.737949789,0.617879987,-11.22296143,-0.171758577,-0.217670143,0.030056221
4.81E-05,0.000989482,-0.000374884,-0.000401267,9.94E-05,1.95E-05,-0.836003602,0.766913354,-8.181202888,-0.202440679,-0.223553836,0.040507134
-0.393372953,1.229428053,-7.733510494,-0.272717655,-0.121604986,-0.000831135,-0.41989097,1.525950551,-10.0422802,-0.429434419,-0.180057526,0.054360073
-0.76988709,1.23377037,-7.578623772,-0.276908964,-0.244844243,-0.011526676,-0.259640545,1.435358286,-8.869653702,-0.419495821,-0.139081642,0.030300131
-0.930644929,1.007474899,-7.920987606,-0.220012054,-0.25739941,-0.00199982,-0.043226443,0.205348134,-0.053753324,-0.055990901,-0.012212016,0.00254097
-0.934493244,0.198635146,-7.520097733,0.034996208,-0.268481344,-0.006160794,-0.116608828,0.308330715,-0.232055753,-0.083918154,-0.029625654,0.003755517
-0.003471768,-0.003101708,0.000965526,0.000484646,-0.000782226,-6.74E-06,-0.336342782,0.35858348,-16.04257011,-0.108649507,-0.017264985,-0.001019544
0.001562856,-0.004264968,0.000467858,0.000640757,0.000660077,-5.26E-06,0.126976714,0.416480899,-10.27691269,-0.118372373,0.055110432,-0.004450084
-0.004020219,-0.000123665,-0.000144194,-0.000358458,-0.000920948,-3.04E-05,-0.459203571,0.314269066,-10.51208591,-0.089581177,-0.109312579,-0.005661776
