circle fx,circle fy,circle fz,circle tx,circle ty,circle tz,six fx,six fy,six fz,six tx,six ty,six tz,dual fx,dual fy,dual fz,dual tx,dual ty,dual tz
0.214454457,0.213219181,-1.353088975,-0.051879406,0.064078912,0.001638209,-0.076223105,-0.089174561,-1.234382391,0.017865809,-0.008156335,-0.000665414,0.006252257,-0.012969332,0.002251433,0.001805433,0.000195387,-2.16E-05
0.063508809,0.235676453,-0.708448529,-0.080504976,0.016740367,-0.003042425,0.041394223,0.075103283,-1.178543925,-0.01420061,0.012216617,0.001064834,-0.596073985,0.845393002,-0.609401166,-0.220001251,-0.142641932,0.009588004
-0.086136095,-0.049753796,-1.291063786,0.007289202,-0.014043865,-0.000986151,0.043224048,-0.021599945,-1.230036259,0.003245111,0.013277405,0.000873323,-1.190600991,0.131107569,-0.573102951,-0.038122606,-0.305064619,-0.005129496
-0.321719438,-0.246218935,-1.613549709,0.077798061,-0.078184791,0.002699981,0.076290622,0.13430357,-1.249900699,-0.028117104,0.020587925,0.001691781,-1.104233384,0.011781219,-1.328257322,-0.029871741,-0.250245273,-0.026851393
-0.122775294,0.056130067,-0.061288219,-0.015582726,-0.035071746,-0.00024096,0.0878589,-0.001401598,-1.242395401,-0.000350485,0.021748748,0.000635705,-0.19168134,0.481520802,-1.701617599,-0.141705707,-0.038831089,-0.011761209
0.237172887,-0.169919774,-1.870698452,0.061785676,0.08763513,-0.002429291,-0.128112689,-0.313492179,-1.585784554,0.103681304,-0.043572288,0.009158453,-0.119647138,-0.316233128,-1.852605462,0.066517524,0.009103091,-0.007507361
0.533422709,0.015067059,-0.925430357,0.001454383,0.169158012,-0.001211167,0.112085529,0.24400726,-2.219352484,-0.037490532,0.052233793,0.000700605,-0.103844509,0.261900574,-3.644805908,-0.096910387,0.058286447,0.005465963
0.501741707,-0.269688874,-1.803158998,0.104869142,0.161191106,0.008014183,0.323941201,0.247024521,-4.265568733,0.001880783,0.046788074,0.029400796,0.023072014,-0.110025264,-0.451287776,0.032267503,0.009061667,0.001722195
0.781944036,1.041436791,-8.193246841,-0.129619107,0.24101153,0.047659241,-0.205503404,0.04194003,-0.097335152,-0.012435102,-0.062665306,-0.001044069,-0.084288619,-0.056098688,-0.322662771,0.010842299,-0.011915738,0.001216919
-0.077625737,0.70321101,-3.619474411,-0.199353307,0.052092232,-0.019441565,0.151159495,0.278865337,-1.340940118,-0.081703715,0.03867998,0.000456579,0.042948991,0.000372323,-0.245809525,-0.003236467,0.015271087,0.001643883
-0.229940802,0.208197251,-1.491690636,-0.054685313,-0.053591743,0.000897783,-0.7495538,0.428443074,-1.054027796,-0.131834522,-0.218983501,-0.011092616,-0.073413998,0.047084719,-0.046736997,-0.011288891,-0.018858463,0.000302234
-0.075008444,-0.09317413,-1.217080712,0.019121567,-0.007946278,-0.00050619,-0.299239933,0.460696757,-1.640172005,-0.137360826,-0.08762563,-0.004961444,-0.486438364,0.108791299,-0.25620392,-0.027158201,-0.121766672,6.38E-05
0.067747489,-0.113340065,-1.369262099,0.043721907,0.01883732,0.001732253,-0.389756083,0.124257512,-1.637844563,-0.034986477,-0.098144539,-0.002378803,-0.856669366,-1.108875275,-0.749901116,0.282615989,-0.225828812,0.010865748
0.029235486,-0.200422943,-1.351447582,0.057515021,0.010610701,0.001765788,-0.196758613,-0.082920581,-1.290790319,0.016013574,-0.046621807,-0.001378712,-0.790985763,-0.756281316,-0.556927502,0.192377284,-0.20348607,0.002017223
0.04436243,0.113987267,-0.548178375,-0.029431207,0.013492491,0.001251296,-0.651611805,0.139697626,-1.566011667,-0.040678713,-0.161937326,0.001921672,-0.668874621,0.839059889,-0.466984808,-0.212808758,-0.171485901,-0.002366854
-0.056230988,0.002274383,-1.300044894,0.000727101,-0.011499291,0.000850567,-0.67665422,-0.27508077,-2.320131063,0.072475426,-0.168916166,-0.00328365,-0.244346753,-0.408705503,-0.686182261,0.098731577,-0.051347211,-0.010864869
