circle fx,circle fy,circle fz,circle tx,circle ty,circle tz,six fx,six fy,six fz,six tx,six ty,six tz,dual fx,dual fy,dual fz,dual tx,dual ty,dual tz
0.317482233,-0.974618673,-12.04236317,0.429833323,0.130987599,-9.72E-06,7.137895584,3.552128792,-7.476222515,-1.029080629,2.202139378,0.005013232,-2.243238449,1.655792356,-10.2651844,-0.460687101,-0.629750311,-0.010129525
1.440824151,-1.962531924,-11.42541409,0.753110588,0.463917822,8.11E-05,4.602930546,3.594558954,-9.852811813,-1.009969234,1.415364265,0.000776469,-2.389527798,1.791495442,-9.827775955,-0.497062385,-0.638657928,0.011223279
-2.335170031,-2.936734676,-11.29652882,1.028055429,-0.666976273,0.000107428,3.316154003,3.058246613,-6.801339149,-0.887210429,1.003171086,-0.008774209,-2.311937809,2.201036215,-8.950346947,-0.587638974,-0.642531216,-0.0024323
0.577675998,-1.964958906,-10.64018726,0.734530389,0.22020264,0.0001113,1.964660525,2.857024431,-8.376874924,-0.770540833,0.619524181,0.029420665,2.207331181,0.986919582,-11.13199615,-0.286179274,0.599923253,-0.005187924
-0.002267662,0.001971617,0.000754154,-0.000314767,-0.000631911,0.000135446,-1.263933063,3.168302536,-9.831780434,-0.863094807,-0.374363333,0.004257696,1.556026578,3.067833424,-10.93276215,-0.875359356,0.480942637,0.011607043
-0.187885687,-0.469861746,-15.41763878,0.009875663,-0.022628563,0.000101183,-0.002909522,-0.000514941,0.000846922,-8.16E-05,-0.000538307,7.46E-06,2.410781145,1.847560167,-12.08845043,-0.546661437,0.675517499,-0.003196815
0.323639989,1.712779522,-10.41186619,-0.653991997,0.0983705,8.81E-05,1.132706046,1.719522238,-7.779476643,-0.485602796,0.259114057,-0.013523938,1.613696098,2.691203117,-0.622559488,-0.737988174,0.432365716,-0.032338578
0.621475339,1.529660583,-11.66843414,-0.621694505,0.175394908,7.15E-05,2.978265762,2.307090998,-7.861069202,-0.671625733,0.833074689,-0.012049093,0.264152795,2.310753345,-0.973161519,-0.622723281,0.081143074,0.012950837
0.111235023,0.295659393,-0.168485105,-0.089692555,0.032913823,4.26E-06,4.330305099,2.114796162,-7.626164436,-0.614865839,1.264755726,0.005437608,0.340418249,0.191521108,-10.27611828,-0.052768614,0.103397422,-0.000955751
0.334396362,0.288917094,-0.196954384,-0.088738717,0.103446528,9.64E-05,3.380839586,1.531517267,-7.992460728,-0.424370706,0.960625708,0.000690552,-1.014196515,0.329726934,-8.667859077,-0.099623807,-0.180445135,0.005911931
0.107163794,0.381601602,-0.201872557,-0.117288262,0.031562369,0.00012172,2.624295473,-0.099400572,-7.862122536,0.090835877,0.724569619,0.020579124,1.402984977,0.217679292,-8.057659149,-0.082100794,0.296852261,-0.006654136
-1.276024222,-1.804809809,-12.44091511,0.683132827,-0.34723562,3.83E-05,1.102779627,0.772561848,-8.010253906,-0.183680266,0.247808874,-0.002542388,-0.662415922,0.720322788,-7.958096027,-0.175754458,-0.101352997,-0.001245054
-2.172390938,-1.395930171,-14.8275919,0.595691979,-0.610716045,1.38E-05,4.318214417,0.89835608,-7.4557724,-0.225494117,1.261495471,0.020608248,2.051353931,-0.472889245,-7.136651993,0.119142979,0.4570629,0.006238838
-2.298570871,-1.422694087,-13.00254059,0.589535713,-0.66202873,4.64E-05,3.371659517,0.796789408,-7.115503311,-0.199546456,0.97123611,0.012589918,-0.318003297,1.148274899,-9.297866821,-0.304408997,-0.123369001,-0.006496348
0.006193112,-0.003563572,-0.000466786,0.000626456,0.000352697,0.000122631,2.678048372,0.305657566,-8.847987175,0.002133449,0.787595928,0.024124745,-1.055640817,1.930224657,-8.21925354,-0.506845534,-0.268448591,0.004172291
0.025887813,-0.591766596,-13.19921875,0.059626199,0.045571543,0.000117343,1.298466921,0.947323263,-7.490276814,-0.241231158,0.315017015,-0.004041616,1.338417053,-0.121128231,-8.719638824,0.068825893,0.386102051,0.004721341
-0.392534018,1.935112953,-11.02708244,-0.709415138,-0.150804251,7.02E-05,-0.145069316,0.315300077,-8.134109497,-0.009599951,-0.099019349,-0.004583639,0.546776414,-0.408604681,-9.474524498,0.117813572,0.150784805,0.001629001
0.00626331,0.611987293,-0.237720177,-0.189581409,0.000517797,-1.53E-05,0.18946977,0.153710529,-4.98252964,-0.010193414,-0.002436581,-0.000585871,0.197622821,1.513941288,-7.9593997,-0.4064475,0.050158001,-0.003213032
0.026506834,0.562906563,-0.261217713,-0.171754986,0.007187437,6.04E-05,-0.380669922,0.491733342,-2.976336002,-0.133301497,-0.081238233,0.003468332,-1.22725141,0.552493513,-8.293420792,-0.120758787,-0.23494862,0.003070044
0.18073611,0.472680569,-0.245249674,-0.144778207,0.055432193,7.35E-05,0.006957944,0.001245645,-0.000897329,-0.000232776,0.001274856,1.48E-05,0.350976586,-0.19464156,-9.517701149,0.051602211,0.105009899,0.003303564
-0.488143742,1.89491725,-10.12822533,-0.604940891,-0.162904367,-3.86E-05,4.095257759,1.140781164,-8.381896973,-0.293609709,1.1765697,0.015965505,0.273613632,1.480358243,-7.775769234,-0.391860366,0.073906489,-0.001453938
-1.382281661,2.125530243,-9.607681274,-0.69632107,-0.404289514,6.64E-05,4.394424915,1.131790876,-8.03918457,-0.296886444,1.291006804,0.018618394,-1.352799177,1.482028842,-10.23242664,-0.384959191,-0.353882164,-0.000155363
-3.126928568,1.220656991,-9.185623169,-0.41386354,-0.873580337,6.33E-05,5.081682682,0.115024231,-8.018424988,0.025971049,1.515606999,0.037331171,-1.202960968,-0.138095558,-9.883419037,0.069675356,-0.322879553,-0.005265318
-0.438468635,2.226000547,-9.473043442,-0.716534793,-0.017750701,7.68E-05,5.419955254,0.966461301,-9.76859951,-0.232702732,1.592914104,0.02120593,0.402920365,-0.248085275,-8.640864372,0.099906586,0.211178228,-0.008311006
0.757457376,0.607969046,-0.324339658,-0.187386885,0.232118294,0.000198532,4.746157646,0.069856629,-6.139311314,0.024654735,1.427074194,0.035187829,0.59434706,-0.324486762,-9.962063789,0.089433745,0.145061374,0.0020131
0.71146512,0.652485251,-0.447565645,-0.201152429,0.216483042,0.000145638,5.263282776,1.192396998,-7.798830986,-0.318161815,1.573643565,0.017524462,0.535765469,1.484953165,-9.287879944,-0.399368674,0.148332238,0.00404707
0.588127851,0.697610557,-0.426105887,-0.212856531,0.181628972,0.000113867,4.78584528,-0.102261335,-7.851696014,0.092306443,1.396614313,0.036392365,-1.104089499,0.05017342,-8.402882576,-0.005879072,-0.264657974,-0.003013916
-0.902817488,-0.787500739,-9.290865898,0.361373276,-0.268213272,0.000181381,6.411526203,-0.015630385,-7.438611031,0.062111422,1.938465953,0.048799712,-2.470956802,1.266168237,-10.5598011,-0.360790938,-0.646952093,0.013481572
-1.162503481,-0.653675854,-9.867708206,0.335099876,-0.363264889,0.000141965,8.117593765,0.512052655,-8.509835243,-0.100073636,2.462846756,0.039343201,1.863366246,2.083254576,-11.81196785,-0.599481285,0.54941386,-0.001529214
-2.69348526,2.032463551,-10.71630192,-0.503895104,-0.85337311,0.000144841,9.214205742,0.490144521,-4.882108688,-0.114371158,2.828688622,0.062630303,3.235720634,2.058589458,-11.37800503,-0.595943809,0.884338081,-0.016126527
-1.877293348,-0.601946771,-9.744724274,0.31440872,-0.594877899,6.85E-05,9.118207932,-0.314621627,-4.886464596,0.136811092,2.786809206,0.071191706,0.068976447,1.885081887,-10.43949795,-0.54827714,0.019873478,0.005270195
0.48072502,2.829496622,-8.60912323,-0.813888431,0.225318491,0.000134561,9.499765396,0.561505556,-7.400732994,-0.122633263,2.888809204,0.040998846,1.171317101,-0.860052824,-11.44740582,0.243278682,0.303191066,0.003571709
0.221849486,1.085620642,-9.439512253,-0.227801412,0.045172647,0.000146367,2.649612188,1.059458733,-7.359627247,-2.135941029,0.808467448,-0.051609177,1.3810426,1.079308033,-8.53591156,-0.296630889,0.413125068,-0.002346118
3.131705523,-0.402167588,-10.63937283,0.261666447,0.96598655,0.00014017,5.044506073,7.76552248,-3.729990244,-2.405297995,1.557533026,-0.059205834,1.071277976,-0.207921579,-10.44162369,0.056850359,0.300635815,-0.00180192
0.001640703,-0.000679791,0.001062227,6.68E-05,0.000171536,9.88E-05,6.505959988,3.741360664,-12.63740921,-2.58904767,2.040782452,-0.020452695,1.573561549,1.189837217,-9.969854355,-0.32828626,0.436296821,-0.001309948
0.19175002,0.671377003,-15.28039455,-0.123855717,-0.110947698,4.90E-05,2.083608389,5.812353134,-8.092701912,-1.733747482,0.625942111,-0.022932215,1.933420658,1.956261158,-6.690114021,-0.512488723,0.443453044,-0.018503202
