Search ep_r PG GRU,Search ep_r PG,Search ep_r GRU,Search ep_r SAC,Align ep_r PG GRU,Align ep_r PG,Align ep_r GRU,Align ep_r SAC,Insert ep_r PG GRU,Insert ep_r PG,Insert ep_r GRU,Insert ep_r SAC
129.0939331,100.2374268,-104.0009995,-119.2911835,122.3501968,119.2224045,-48.54994202,105.56147,131.6108398,132.8981476,115.4241943,133.9666748
123.4584274,129.9109344,-115.6421661,-109.2605972,123.5717392,114.8071442,126.5689316,113.930954,127.2709732,132.8713379,-137.2819214,136.0444489
113.7899704,124.7001266,-101.2412109,-198.5535889,117.3573532,123.4225998,121.5508499,-46.66056824,131.0222626,130.8658905,122.5383301,134.5297394
122.215271,117.4296417,-135.7256622,-100.6936951,121.7485504,114.3506699,125.66996,-46.86372375,131.0825348,147.0113068,-183.0654144,108.8203583
109.887619,122.2027512,-94.57546234,-93.22914886,124.4974213,112.6280594,-46.39079285,113.5559235,130.6172028,131.2914124,35.74056625,128.1662903
131.0397034,122.7171783,-133.2557983,-88.68428802,116.9154663,124.4197845,124.0686188,-49.20463181,147.6184235,128.9639282,117.3618698,134.3371124
125.2471085,91.23589325,60.73608398,-116.8707047,124.6127625,114.8748093,-46.38364792,112.0814819,128.1015778,128.3610687,-88.45509338,124.3592606
138.2093811,128.8217468,-125.1290054,-131.3930359,126.0160675,115.2593689,121.3480148,-55.48696518,128.7484436,129.609787,-108.1258163,140.4169006
111.2759628,127.33992,-98.50840759,-112.8782578,123.6068573,123.862587,-45.97093582,109.33358,129.5675812,130.0193481,-221.0580292,135.2367554
107.003212,127.5354996,-93.70368195,-103.817276,122.3764343,-190.6733704,122.402504,106.7429199,128.9550629,125.91922,-120.2969818,137.9584351
117.6889114,119.4143219,-94.21018219,-91.96032715,126.5259781,115.3752213,117.0322495,110.5282822,132.0599976,130.5366211,62.11763382,55.26514816
114.1828613,106.8945541,-96.40023041,-105.253624,121.1727142,121.8135757,-55.07474136,101.4976654,130.6271973,126.738884,-192.5619049,131.626358
109.633873,117.04702,-123.0260391,-108.8377151,123.2508469,119.6909943,127.4211578,-48.45838547,132.8769226,125.0378342,-90.43740082,130.2164154
109.0994644,92.69356537,-87.95860291,-83.62112427,121.2209396,124.2010803,-47.50959015,84.58691406,128.6756592,148.1028137,-141.5246429,132.5084381
129.8701782,78.42142487,-111.2848663,-131.1129608,124.7475586,93.83584595,127.4500275,-46.27942276,128.5182495,144.6204529,-151.4532318,132.9508972
110.3890533,120.309082,-99.91719818,-111.2535706,122.9750595,123.6774445,125.4119339,112.204361,132.0767975,133.1280975,-158.2695923,130.2079163
