Fx,Fy,Fz
-0.358439439,0.328706544,-13.77467394
-0.442741462,0.280573829,-12.23684999
-0.027409033,0.429775665,-12.84057865
-0.038119702,0.30827714,-13.36082034
-0.17603144,0.212077951,-13.59693244
-0.821434541,0.34757313,-13.6835492
-0.931084407,0.335742852,-12.51332636
-0.638200042,-0.060067402,-12.748805
-0.082469039,0.052579526,-12.96146249
-0.257864077,0.367819745,-13.47928845
-0.467964974,0.173145125,-14.2188044
0.164264549,0.419182958,-13.05519013
0.134804852,0.339673398,-13.28381009
0.398825512,-0.0584596,-12.88531582
0.653766589,-0.127573138,-13.02881251
0.156894327,-0.189427365,-13.38444734
-0.259560727,-0.496860422,-13.99622158
0.056275325,-0.898058486,-13.56420091
0.19930284,-0.352817125,-13.35424982
-0.095340009,-0.275070356,-13.52318958
-0.610129349,-0.112773865,-14.8833804
-0.562829262,0.223673422,-13.54180705
0.052816241,0.01258759,-13.4083085
-0.337875832,-0.037536623,-13.69356187
-0.753043576,0.273863961,-14.49060395
-0.250869562,0.178335605,-13.89375357
0.309734012,-0.325046887,-13.10523928
-0.204041053,-0.486957631,-13.25465809
