Fx,Fy,Fz,Tx,Ty,Tz
-0.149499997,-0.114600003,-0.208800003,0.162100002,-0.175099999,0.0018
-0.538299978,0.269800007,-2.899300098,0.060899999,-0.610200047,-0.004
-0.158899993,-0.064000003,-0.751900017,0.129800007,-0.069899999,0.0385
-0.329100013,0.381799996,-0.337500006,-0.198599994,-0.348699987,-0.0066
0.165299997,-0.064599998,-0.322299987,0.064000003,0.170499995,0.0135
-0.073399998,0.417199999,-3.405299902,-0.644500017,0.0561,-0.0057
-0.108400002,0.528599977,-1.806300044,-0.533200026,-0.087700002,0.0034
-0.185299993,0.484600008,-1.282799959,-0.461699992,-0.138400003,0.026000001
-0.0502,0.180800006,-0.493099988,-0.0845,-0.045299999,-0.003
-0.185499996,-0.245199993,-0.105099998,0.191699997,-0.226199999,-0.018999999
-0.064300001,0.254099995,-0.759599984,-0.140499994,0.049400002,-0.0065
-0.0295,0.1017,-0.277999997,0.188800007,0.0142,0.0015
-0.017200001,0.185000002,0.0251,-0.223100007,-0.040800001,0.001
