Fx,Fy,Fz,Tx,Ty,Tz
-0.037,-0.171399996,-2.504100084,0.646399975,0.049400002,-0.0337
0.1171,0.429100007,0.228100002,-0.080600001,0.1206,-0.0149
0.071099997,0.481099993,-3.137700081,-0.729099989,0.560400009,0.030400001
0.090300001,1.332499981,-2.363800049,-1.986099958,0.522300005,-0.064000003
-0.394899994,0.134599999,-1.421599984,-0.121299997,-0.128299996,0.0148
0.594399989,-0.0165,-2.704699993,0.416599989,1.770499945,0.068800002
-0.572600007,0.27790001,-2.337599993,-0.664499998,-1.123800039,-0.079999998
-0.030999999,0.0517,-2.591200113,-0.066699997,0.1347,-0.0123
-0.531599998,1.347100019,-2.834000111,-2.47059989,-1.521900058,-0.176499993
0.0261,0.430200011,-2.712500095,-0.253500015,-0.259000003,-0.0242
-0.0035,0.400200009,-3.040199995,-0.365700006,-0.062799998,-0.0196
-0.842100024,1.129899979,-1.139600039,-1.733299971,-1.461799979,-0.036600001
-1.041300058,0.758000016,-1.161999941,-1.947999954,-1.825099945,-0.231600001
-0.021199999,0.37529999,-2.039599895,-0.128600001,-0.288700014,-0.012
-0.45570001,1.057199955,-1.764199972,-2.039900064,-1.25999999,-0.131200001
-0.480599999,0.834299982,-1.065400004,-1.240300059,-1.051100016,-0.069300003
-0.055799998,0.237399995,0.099799998,-0.064400002,-0.100299999,-0.0047
-0.027799999,0.075499997,-0.138699993,0.206200004,0.0757,0.0046
0.133499995,-0.110100001,0.285100013,0.312299997,0.164499998,-0.0086
0.208100006,-0.183400005,0.097999997,0.47240001,0.291399986,0.041299999
0.200599998,-0.121200003,0.129600003,0.48089999,0.493000001,0.0105
0.172900006,-0.166800007,0.238000005,0.490700006,0.383300006,0.031399999
-0.085199997,-0.0118,0.689800024,-0.0195,-0.2421,0.032400001
-0.248699993,0.513300002,0.0047,-1.303900003,-0.557699978,-0.063900001
-0.174099997,0.468699992,-0.046,-0.99059999,-0.278699994,-0.050099999
0.561500013,0.393900007,0.237000003,-0.731299996,1.624600053,0.088
-0.316100001,1.212800026,-0.358399987,-2.376699924,-0.865999997,-0.153999999
0.432000011,0.937099993,0.164800003,-2.074300051,1.037899971,-0.053100001
-0.042199999,0.780200005,-0.128399998,-1.624500036,-0.117799997,-0.0669
0.405400008,0.827600002,-0.0272,-1.73210001,1.019099951,-0.0254
-0.305599988,0.868799984,0.1461,-1.543499947,-0.85619998,-0.105599999
0.077299997,0.913900018,-0.663299978,-1.895699978,0.57130003,-0.064400002
0.1928,0.270200014,-0.801400006,-0.071400002,0.0757,0.0012
-0.172399998,-0.0133,0.230100006,0.062100001,-0.320600003,-0.0113
0.829999983,0.0647,0.176200002,0.2597,0.786999941,0.098800004
