Fx,Fy,Fz,Tx,Ty,Tz
-0.370599985,0.46360001,-4.693799973,-1.406200051,-1.459100008,-0.0206
0.230299994,0.309300005,-2.031699896,-1.427700043,0.590200007,-0.0057
-0.195500001,0.591899991,-5.326600075,-1.457599998,-0.405000001,0.0178
0.528900027,0.054499999,-3.453700066,-0.263200015,0.984899998,0.0198
0.198100001,0.42930001,-2.84980011,-1.401000023,0.602800012,0.032600001
0.320100009,-0.064999998,-3.588700056,-0.105800003,0.772800028,0.035300002
0.285600007,0.626399994,-4.049300194,-1.599099994,0.762700021,0.02
0.243799999,-0.07,-3.782200098,-0.0392,0.516600013,0.0361
0.451299995,0.572300017,-4.622000217,-1.929499984,1.093899965,0.02
0.201800004,-0.090800002,-2.855200052,0.165199995,0.237000003,0.042199999
-0.687600017,0.708599985,-5.03249979,-2.280100107,-2.003299952,-0.0294
0.432599992,-0.104999997,-4.508399963,-0.026000001,0.768100023,0.032900002
-0.43900001,0.744799972,-3.643599987,-1.824000001,-1.129099965,-0.024499999
0.512000024,-0.0381,-5.485899925,-0.121100001,1.040799975,0.031500001
-0.80369997,0.932500005,-5.241700172,-2.368099928,-2.031899929,-0.0119
-0.068099998,-0.429399997,-4.393400192,0.371699989,-0.118000001,0.025800001
0.2465,0.0042,0.959500015,-0.044399999,0.345499992,0.034000002
-0.0034,-0.52579999,0.796700001,0.361999989,0.032699998,0.0119
-0.210299999,-0.295399994,-0.979799986,0.269300014,-0.201199993,0.0111
-0.237100005,-0.132300004,0.252499998,-0.184,-0.076800004,0.018999999
0.0273,-0.227400005,0.345899999,0.054900002,0.094800003,0.020099999
-0.216100007,0.050700001,0.528299987,-0.142800003,-0.146799996,0.015699999
-0.185399994,-0.605700016,0.897700012,1.104200006,-0.394199997,-0.0093
