reward,phase
108.6804051,3
98.7187406,3
123.2585996,3
112.8327008,3
124.9221248,3
128.7759764,3
103.3713241,3
126.5575498,3
-16.94700961,0
-13.57793752,0
-13.87429682,0
-21.73075611,0
-21.31896687,0
-14.52346687,0
-7.115014901,0
126.5499526,3
117.5990233,3
135.3270728,3
111.7354281,3
106.1267483,3
-13.87243184,0
-14.51936365,0
-7.599627398,0
-20.56800008,0
106.8685242,3
-18.02428003,0
-13.88453919,0
-13.47615113,0
-20.20161526,0
-20.8878154,0
-13.25968711,0
101.0942709,3
106.5617386,3
89.43993953,3
87.9370375,3
100.7317219,3
117.6697433,3
104.8187878,3
118.7764725,3
87.8629204,3
123.9632987,3
104.9099104,3
123.9067401,3
111.4784807,3
-21.17217431,3
117.3719127,3
113.5275672,3
124.3928962,3
127.642299,3
106.151482,3
125.7505246,3
102.9654716,3
101.786998,3
-13.67576558,0
-13.9190483,0
-20.77337288,0
120.2406645,3
127.8295949,3
104.4501344,3
-13.76760868,0
-13.55105208,0
-13.98391581,0
109.005256,3
118.1302065,3
111.691301,3
119.7604328,3
124.1121448,3
113.4349757,3
104.4729017,3
-6.967544278,0
-15.11978494,0
-13.6254723,0
-21.2361315,0
-21.84285894,0
-26.33480489,0
128.4103228,3
103.4971342,3
98.88999958,3
105.0766083,3
117.0675763,3
101.3139285,3
101.4240174,3
111.483555,3
110.5836834,3
116.4696008,3
-16.56792725,0
135.742552,3
110.1079266,3
106.0521758,3
113.2387793,3
89.75114877,3
111.2605298,3
111.1153023,3
-14.83310969,0
-21.09705886,0
124.81005,3
-7.105004906,3
-7.422609239,3
117.661098,3
92.62627938,3
135.731109,3
92.62047739,3
138.2848553,3
136.1733877,3
-16.44724108,0
119.2813058,3
101.2025065,3
140.8130097,3
-15.04509673,3
-14.56037606,3
-14.10181654,3
-13.56615838,3
108.1853305,3
-6.951180198,3
-21.56387894,3
-13.6803898,3
111.1349538,3
89.82637144,3
111.5373932,3
131.1483779,3
85.85640242,3
110.1310126,3
121.3863198,3
119.4851256,3
99.871904,3
118.2921697,3
104.0398781,3
103.5560325,3
114.3296371,3
101.2978635,3
119.3722652,3
114.2534486,3
101.6181274,3
115.6437799,3
116.9773375,3
-20.69251481,0
-20.80881697,0
-20.12705678,0
117.8941385,3
96.33768492,3
-14.45105935,0
126.6887709,3
126.9141713,3
118.2946815,3
112.2098434,3
127.3504387,3
-23.01607296,0
-21.39402704,0
-13.5009097,0
-20.76585362,0
119.7040583,3
92.4934149,3
-14.40905999,0
127.5471637,3
112.5278214,3
124.6287555,3
113.3187706,3
-20.71267208,0
106.4476577,3
81.48216604,3
116.0888171,3
91.329081,3
119.6476283,3
114.7322963,3
138.9043874,3
105.785033,3
124.9745585,3
108.1822278,3
110.5896664,3
113.3003996,3
115.3520703,3
102.4423947,3
121.2743431,3
119.1821946,3
96.82489034,3
114.7046892,3
115.8237307,3
117.3876162,3
109.8894389,3
108.5623183,3
-16.8495736,0
-13.76040503,0
-14.48945405,0
105.6275856,3
125.2916934,3
98.19180413,3
101.0945479,3
135.4019596,3
125.7053501,3
125.4390393,3
118.2607959,3
104.3344204,3
113.6123743,3
117.5225028,3
-13.71850348,0
-7.181901348,0
-27.52397945,0
-13.86516969,0
-14.22618339,0
119.9683742,3
122.5290175,3
116.5332991,3
118.7594915,3
106.9877702,3
-13.45637597,0
111.7764126,3
126.1256185,3
101.7399179,3
101.4302131,3
